"frame","x [nm]","y [nm]","intensity [photon]"
1.0,69331.45194344994,15741.465299402831,65226.38122568872
1.0,70006.03565838396,23902.38084048561,63499.699847911004
1.0,70214.65523583141,61154.57166998342,81548.93392675187
1.0,70416.67325144856,56761.268342819756,92588.62674923756
1.0,70735.68586015186,63604.24207876001,104087.2731313952
1.0,72322.84673840727,67391.79837958075,53943.4692521078
1.0,72799.4148596616,25756.006379863713,101185.05883819154
1.0,74996.12038054966,81128.67610456822,67379.359967011
1.0,78252.65396561906,51255.49702638631,34269.11885749742
1.0,78807.48147046573,47184.596722990296,41616.54888664468
1.0,80512.40349359397,7330.061925641135,49507.27042304729
2.0,6518.0635810781705,75648.45992075834,73748.7548381539
2.0,9886.778312199855,37555.31288447539,77318.52729666352
2.0,13047.723088547566,16256.513850703177,47182.24244811726
2.0,13008.369279730541,42288.76926838341,47783.63405899337
2.0,13467.867083344498,52556.57475082453,451110.0510713636
2.0,14000.508423475878,72341.28615575332,91081.98677764258
2.0,14484.016090017714,75860.36058397117,97851.47977903276
2.0,14679.643677477887,60915.32969089095,66687.56459395537
2.0,15255.987619211537,23468.681656285196,103400.85932062348
2.0,15217.517989614465,55454.10165283076,100270.89155539217
2.0,17374.320619978756,59709.62209781166,57385.92842063417
2.0,17566.109819030546,26182.299479324938,62617.08024722462
2.0,20547.45122846541,53292.41206423364,303471.9266247145
2.0,21669.518050344337,33836.105657688444,305633.735341944
2.0,24040.154262835906,62622.64331857408,532601.6230127162
2.0,26303.066932016936,68331.8002565976,61108.87089610531
2.0,27187.0521029853,28768.38245938972,58904.16896653165
2.0,27151.48272719993,75603.1695052196,73397.16108190162
2.0,28277.95313149709,23654.26622818242,268237.665380216
2.0,28239.83406562887,66321.70648616157,85330.43370573407
2.0,29083.740781735796,24899.132477381692,495279.0639013473
2.0,29248.87351368423,63939.614313833554,144695.12607666387
2.0,29609.19902138596,41794.48903104507,31475.332158507175
2.0,32070.114789931613,75862.7855771311,111979.24247317259
2.0,33021.910930702055,15789.015809554494,336295.08424254257
2.0,34610.30173177131,3058.207776005487,106215.53349278143
2.0,37026.16198001586,72392.07033137119,319625.7905019469
2.0,38485.37284205163,57399.36821244709,168824.15049579355
2.0,38620.73686311976,49786.82273323734,90054.78781299811
2.0,38991.29495580626,25423.409540439374,63918.76511042513
2.0,39437.55477392493,75970.1527438735,69871.62864975695
2.0,40049.732770760515,24036.562450278667,77008.65538103809
2.0,42285.661651746166,30030.985048626142,168245.54322324504
2.0,43621.603933031474,45343.73822052576,116592.88344301822
2.0,43797.49201287838,41388.23750914351,55695.47171110384
2.0,45441.25020323101,38200.24021421578,60987.07951214494
2.0,46940.107846298975,17005.907889711278,142805.35059278345
2.0,46927.80789864426,63032.01458633513,293771.3494024836
2.0,49569.378790699724,46102.290702528844,70393.80599240381
2.0,50008.83204728363,57177.73671517519,70367.78264244931
2.0,52438.035335076325,25382.239092502707,249897.67558654054
2.0,53543.81610812788,23039.13414157781,122507.8761673806
2.0,53525.52077645841,56278.67841911573,68502.13205921763
2.0,54468.3795470729,2441.242157836113,82595.46885495403
2.0,55960.603695797625,47796.20275849916,77476.57965682892
2.0,56756.06960823499,28627.966233835694,61238.15288183797
2.0,56966.07228444291,68721.62047926968,26157.43289927307
2.0,57886.201339739986,48147.7336927167,49931.15759193395
2.0,59836.27637820259,63659.94343025795,78659.89702173378
2.0,61440.81489999504,35327.026319277305,98107.63459271681
2.0,62131.407730096566,25980.64752876989,107506.50848372269
2.0,65037.82008719067,53312.987013039805,160283.15456860297
2.0,65409.13997755998,43306.65478157931,63084.147846430744
2.0,65438.82297940696,76488.10558930613,145999.62623239623
2.0,67046.12375695622,35897.34741921597,33757.273811692554
2.0,68000.89313233858,54098.10089826998,252089.17960809323
2.0,68109.71734403932,7484.190858508174,61225.88452854843
2.0,68674.4502333979,69575.61098158476,59399.509235946636
2.0,68939.70812984538,56060.14753317112,165854.27650569417
2.0,69133.3075046135,67152.1564216269,90872.58367104937
2.0,74795.0547468087,63979.704075706024,110423.50862710025
2.0,75718.47825262761,26244.85111619782,68152.51538913265
2.0,76407.68854743234,42649.68813836379,55598.20475721201
2.0,78583.14495244648,62832.80134437648,108268.83491398036
3.0,1129.5718735605174,45534.711389248834,102802.4596129133
3.0,3173.5968167601445,30844.570028434853,49936.902639348154
3.0,3501.6174772366508,78248.85639578667,54869.5502047345
3.0,4452.81850692264,73785.32643951906,48315.656467488254
3.0,5594.425464711428,33400.73630316578,39940.572055514735
3.0,6402.125186626384,75789.50468657243,43916.086590634906
3.0,6426.943251716849,77232.82031252728,58308.62508200955
3.0,7747.057443524011,50354.5088495288,65393.936194386704
3.0,9437.411166459995,39104.95283916577,101701.3995551873
3.0,10121.441335497726,46191.62554632786,44012.8473666376
3.0,10435.21962618719,51622.182616915416,57995.47265881462
3.0,11809.824323218962,58771.630384502714,71389.44370592502
3.0,11990.799769499661,24725.15283057645,212532.91921030777
3.0,13424.891804537312,52612.83739433012,457611.0807333513
3.0,13756.985754925345,29941.28674913427,281367.8461725671
3.0,13561.56576851877,48176.40451939289,174120.64968381033
3.0,13787.9980428246,76689.15695428122,192732.62954215804
3.0,15267.310591011172,5092.151495035126,83903.8836331274
3.0,15371.36006886284,73934.82772608874,62755.96433853397
3.0,17748.54852082273,76619.31445111327,43852.10825789469
3.0,19909.51242364746,80297.8118280639,42925.26743606126
3.0,20367.730181574458,50629.13012888084,53517.9765994976
3.0,21138.201212991604,53933.36719854315,70141.96011754828
3.0,21531.523883525613,20212.95382919042,109525.06196670474
3.0,22846.582316676544,47976.66124624617,65720.38348520905
3.0,22903.054680422592,61603.20963773912,64779.782473543506
3.0,24127.909836776522,60390.34623598241,103547.57185433392
3.0,24920.97306455839,34958.47127901138,140907.51745488378
