"frame","x [nm]","y [nm]","intensity [photon]"
1.0,5856.556418410575,30509.138884962904,77888.5580792985
1.0,8313.912481983425,80423.67905902016,49454.32176775726
1.0,15298.423345415606,36988.00108361109,101764.43038175425
1.0,21276.247417867413,75993.06611650465,105451.01884637921
1.0,21409.493784205188,16385.154805502076,1576447.4785258658
1.0,21433.65410582253,81149.65599072323,105280.96535769988
1.0,22215.190176268054,74471.18232602147,57918.00461192565
1.0,24891.448051179614,61244.131019084234,61664.37663402
1.0,30181.389926205993,52498.033739491475,65965.50904152067
1.0,32626.345263962878,50450.17753339259,103322.83618769761
1.0,33183.44128525183,77792.66263428812,52578.58781984987
1.0,34109.836870099934,64358.80006618986,92715.001387216
1.0,36029.27576817087,60496.2081597463,518930.30997786694
1.0,36244.77188801995,74447.68614667004,69792.45399475557
1.0,37045.938312876,75217.85258912461,78783.29945789409
1.0,38353.59820820105,60796.02724115398,141099.55300038448
1.0,38773.61988661379,38312.59510805398,81354.26772213166
1.0,40957.61043734746,62821.0582338798,34190.9096949271
1.0,42167.16976111244,81313.77521112884,85374.81383269094
1.0,43414.03599638127,45024.04243271535,71426.386994813
1.0,44077.843467237275,26181.38225438929,110184.03364274313
1.0,45168.929849949775,48187.14245700768,283054.23426909815
1.0,45935.59702747006,31757.786642361832,167011.41803616012
1.0,46082.995433616146,79416.8450578733,165286.08673664747
1.0,47036.661619600054,71545.74293610043,49979.490047389634
1.0,51448.261494584505,47895.310702728595,56431.00291373284
1.0,52044.82468900024,34402.13666930459,66338.72825324233
1.0,55126.0723839497,67841.14202815227,40174.12659427852
1.0,55417.328508529274,21255.526254507407,102289.71806008596
1.0,56762.22240921913,36041.430780377326,90907.04793384534
1.0,57208.64079893356,21503.677220148536,45000.74122579619
1.0,58475.26935183039,45443.94748651616,249072.07500483145
1.0,59304.14669821874,25128.297134824097,207757.96801246406
1.0,59413.94611038511,37758.12344087087,114866.57299980163
1.0,59404.45669206692,40839.31820341149,67880.4084045162
1.0,59652.94100077881,54298.975911881615,49651.13472951756
1.0,59738.90634022347,71079.44736550779,59846.43483625918
1.0,61820.83552540118,58498.29260111004,232165.44043680895
1.0,62530.312068466614,423.2010875863718,106465.18413265185
1.0,63062.69850954967,26662.772157223913,52033.374025713594
1.0,66931.46996977007,73601.97237482978,58467.82011568128
1.0,69478.35231635919,77171.49359970841,60618.94283627119
1.0,70075.82982203644,56742.19018933244,43583.10923125243
1.0,70095.26481416363,4847.107637193024,232420.089534277
1.0,78795.45843835411,36969.9457436931,69564.25559673554
2.0,1062.9645719149541,70781.93503741839,68850.35680270418
2.0,1727.0082240467345,43580.31030759441,112133.72893921846
2.0,2454.2764522310435,63070.72207674289,54467.76620941542
2.0,5789.18788836929,30663.256574614086,410738.22476434294
2.0,8703.230637272867,13764.674068486644,154786.64709761486
2.0,8633.985506615756,52106.66272975538,39034.426360341575
2.0,9667.025744744189,44203.671825962396,82397.64177524245
2.0,10470.244888952102,27705.917790076306,50737.784299835366
2.0,11191.41255354823,62501.57754931619,87742.9992172781
2.0,11577.615803671151,60114.28012163701,143350.56051176862
2.0,13621.84895073126,27942.686433698287,66713.44257626426
2.0,14150.277758687218,55399.07299656427,508575.04606519593
2.0,14315.221386296293,47795.22621453089,66055.0426857137
2.0,16047.984184647967,66290.41585963011,47102.73381920208
2.0,16645.419723497158,42117.233991513276,110573.80079485117
2.0,17785.3912207379,60460.92364340336,177540.71529846618
2.0,18666.136108584244,39860.48072949938,70049.85043957473
2.0,19082.641841576733,20453.763311804425,319744.84824902465
2.0,23801.504820619888,38997.890875047284,164097.50371155236
2.0,24031.55445238204,55996.601881801296,38518.79036509611
2.0,25454.500463661538,64270.702706671545,87676.82181733838
2.0,26228.447133950107,572.8755887085863,205450.70614489395
2.0,26505.796169506164,13326.28356857983,423317.7599627848
2.0,29029.95449489556,32243.737322403576,43805.71502678379
2.0,29638.575587740128,55081.57891456393,56817.62920086109
2.0,30135.382504869187,77250.97868750957,50913.53370051293
2.0,33939.402760262725,64417.457429429116,142318.99469430372
2.0,34817.09745180196,74210.7628059287,75900.05901048242
2.0,35764.72198883489,23845.274438477765,181124.0057339283
2.0,35811.609902718425,46453.67029868225,137410.97237339843
2.0,35918.983204362645,60602.41812993043,472203.3802830817
2.0,37909.04500300994,80637.78248299111,52146.00103536075
2.0,40894.02930577615,63951.80342183326,42145.418847971276
2.0,41330.02105434792,41569.89953557487,51532.207167437016
2.0,42671.76261782045,32659.413127895612,164625.57948604677
2.0,43159.95474918885,34114.73193180091,57937.15121464485
2.0,43173.22815172611,39223.56532396116,55952.465483253116
2.0,43543.619711620224,80853.35290317281,78280.84036999517
2.0,45631.81923684316,65597.97993033874,70208.83125755837
2.0,45832.104630268856,78435.68428718646,479303.1691589688
2.0,46746.614135551186,71722.95201376118,63271.39703992786
2.0,48172.787087115365,66833.96817669927,96734.64326532235
2.0,49218.439240584405,63091.85041061155,42793.715308271945
2.0,49929.989054289,54681.781965548915,480989.81675998744
2.0,49794.45393233808,80678.72006458174,64199.80334404734
2.0,51053.395955626635,25088.10137573043,64973.13657592804
2.0,51180.17938308079,48500.19843527072,20932.391371219
2.0,52979.1441010686,65698.20774046713,150701.12787632243
2.0,54122.864854448395,1012.9332946424045,51876.808323543984
2.0,54555.6566423048,42605.927767573565,473968.8299617012
2.0,54732.34571667477,37251.57668905151,53031.231658330864
2.0,55145.24084707284,55075.93431772467,48392.80358797226
2.0,56072.496315011835,57529.006583579205,78920.23145886336
2.0,56324.07470937991,22035.1882732251,117895.36634715306
2.0,56444.26467915079,70554.56455138043,54635.10671643175
2.0,60171.47082692818,19354.68646224568,749625.4284168788
2.0,61161.64413468994,60162.15565671379,67437.65510924949
2.0,62900.89493755019,34869.41233854796,58982.26272621437
2.0,63841.65112908087,48762.32676214639,259468.38866097457
2.0,64096.25527022512,69078.56960678326,61079.54095142684
2.0,64294.91589543416,37869.449004661,224483.85043013463
2.0,64213.92322811111,46355.25874419704,71789.34331666242
2.0,66780.40967218744,75986.36551073448,44267.81544008436
2.0,67649.01909375492,45946.84111041667,170794.613572872
2.0,67655.6722803338,51683.70702146995,49290.56194034493
2.0,69895.62638247322,68492.95616363377,474204.3146333076
2.0,70061.38212387817,70903.61056746455,209398.60242088902
2.0,70212.26460594399,67109.36157805577,97839.90676573486
2.0,74412.88090392356,72447.9842328646,77637.97235778833
3.0,3552.8199071264944,57474.12236607827,63671.284303399756
3.0,5975.925549597466,30708.714417420288,464841.13719607587
3.0,7221.229026248467,19297.862150801564,67846.47492933014
3.0,8791.552430160067,13828.712066188884,182273.84103415115
3.0,10061.384375712194,33395.329835454584,102346.91805702882
3.0,10646.328249254968,34766.19840896165,77725.98573151923
3.0,11089.899254204644,27847.299959325646,65321.209100207205
3.0,12240.782597105468,53613.84720483103,471115.44067035714
3.0,12600.387670650292,47255.31842039833,55149.05067326422
3.0,15063.666715276493,32684.048868908358,76033.4959384813
3.0,16050.207809081134,17816.551063495102,77833.03618131115
3.0,16240.946093281766,74538.12631235807,51445.61555316124
3.0,17435.72089023572,58700.62648053323,111870.0532921135
3.0,18588.85151963355,27967.644023785626,143440.53908120046
3.0,27129.888258865456,58772.27325579893,101326.11248964867
3.0,27945.545920012828,41178.44867880744,57191.931396579326
3.0,30491.76381901915,54270.55215009892,73654.26381207557
3.0,34314.42618058536,37094.38629519787,119858.8187018759
3.0,34733.90188616536,78559.06719773765,71261.77610879682
3.0,36116.52814846736,15888.057599154869,191811.5900605572
3.0,36070.05337496542,51467.32538809303,70873.15316085794
3.0,36112.31466002154,60647.19456740816,471081.3647219601
3.0,37105.11993718887,75454.68175168712,35774.97386906288
3.0,38062.178525672934,65418.62140018652,123883.70135144127
3.0,41709.676293915756,52025.76791181087,147459.00846643097
3.0,41877.81830561314,60688.41817313513,60923.44923368026
3.0,42961.5302684956,19440.8522464054,72006.21846252233
3.0,43177.95464209662,34382.22598248539,54963.00375313682
3.0,44702.714174845154,69712.24319605273,73042.53498621454
3.0,45252.083242897344,76037.96603684043,62596.450237090445
3.0,48967.61342459322,70940.04372074912,81468.22526297242
3.0,49703.73033972627,80965.66296647926,47772.293999869595
3.0,52140.90594365453,63017.10264608578,124238.83882548432
3.0,52243.958714495064,28415.31416742429,139042.1801230548
3.0,54700.4018936321,48141.116161365564,52864.074102386054
3.0,55230.298825698745,68461.38888812717,239861.9544805488
3.0,57698.67513903349,80599.97070448326,60208.75576931605
3.0,58786.59749781894,42142.69519537277,54686.644153709116
3.0,59860.98902741831,78009.75956386028,108366.05790748447
3.0,60035.27633417404,29719.12614633085,79048.80077879039
3.0,60347.753552485636,66180.25863109571,83948.15858056599
3.0,69984.8492059388,58114.67385655108,165675.66484047516
