frame,x,y,label,DBSCAN,HDBSCAN
31,35788.03506197683,-34856.8326810677,0,0,13
32,35731.23624835726,-34853.990308878456,0,0,13
32,35819.446716100625,-34851.21450422012,0,0,13
32,35788.52088622434,-34837.135334758896,0,0,13
32,35793.65987899148,-34882.64956341978,0,0,13
32,35784.49908715677,-34850.55546175502,0,0,13
32,35795.969311029425,-34858.091564675626,0,0,13
32,35807.72166450457,-34870.757349826665,0,0,13
32,35775.3024042488,-34805.945333888936,0,0,13
32,35764.426275499245,-34846.1014204513,0,0,13
32,35783.01428020581,-34885.36294148911,0,0,13
32,35784.01675368527,-34881.38624538304,0,0,13
32,35828.05125645207,-34889.564594074625,0,0,13
32,35764.565277483656,-34848.05390400035,0,0,13
32,35764.62974310316,-34820.77430693593,0,0,13
32,35813.487688653164,-34868.839153491004,0,0,13
32,35786.04989131612,-34862.84311941617,0,0,13
32,35803.4906710368,-34850.21140462168,0,0,13
32,35777.61391960083,-34863.89789810614,0,0,13
32,35746.02804829253,-34853.88228470738,0,0,13
32,35820.190945641014,-34846.229238059605,0,0,13
32,35807.537979148095,-34838.31548116829,0,0,13
32,35797.98718297757,-34883.34118887209,0,0,13
33,35777.54904750082,-34807.129483071905,0,0,13
33,35828.06619837187,-34895.454314658535,0,0,13
33,35712.98729767232,-34834.62992760818,0,0,13
33,35803.55594080743,-34930.8241257638,0,0,13
33,35778.64195768893,-34846.57477416465,0,0,13
33,35758.218184687204,-34827.682315663886,0,0,13
33,35736.02081152468,-34846.27072019388,0,0,13
33,35773.54577769943,-34924.19273374536,0,0,13
33,35785.07509387639,-34868.515235542494,0,0,13
33,35805.01653655676,-34778.81967682407,0,0,13
33,35738.56568870066,-34809.60956402998,0,0,13
33,35787.89197298125,-34912.2393267654,0,0,13
33,35798.34621619824,-34872.28825371675,0,0,13
33,35793.21475036338,-34798.526814357814,0,0,13
33,35839.86711760981,-34775.87557714811,0,0,13
33,35800.266007427024,-34867.90892684943,0,0,13
33,35820.88262648872,-34864.5033725419,0,0,13
33,35863.25286842725,-34919.63366162077,0,0,13
33,35760.92403977226,-34877.35047482604,0,0,13
34,35838.37349873728,-34848.76038451017,0,0,13
34,35798.073072807885,-34757.91490048809,0,0,13
34,35720.07731622975,-34875.24786438647,0,0,13
34,35829.57569372777,-34853.35142108771,0,0,13
34,35768.13207373103,-34823.70483224325,0,0,13
34,35880.62798437591,-34821.350038454744,0,0,13
34,35815.13957756074,-34828.50181693072,0,0,13
34,35742.38844874015,-34883.492594124225,0,0,13
34,35745.06680959203,-34746.81114956412,0,0,13
34,35896.47313391887,-34690.35720030712,0,0,13
35,35852.57375253506,-34731.69765382496,0,0,13
35,35875.50722160879,-34750.96307278839,0,0,13
35,35927.79474670095,-34887.43861348909,0,0,13
35,35887.27044585543,-34986.53795083096,0,0,13
35,35747.141218512814,-34899.52751977662,0,0,13
35,35756.53126204501,-34688.620596151064,0,0,13
35,35727.311899939195,-34815.131714249714,0,0,13
35,35773.741581352406,-35063.12113132074,0,0,13
35,35980.22328508711,-34992.54644665716,0,0,13
35,35828.35801333109,-34834.13125395833,0,0,13
35,35926.788845769144,-34968.317194978736,0,0,13
35,35755.99841239045,-34741.435024708,0,0,13
35,35725.24186785568,-34913.39664970664,0,0,13
35,36033.27041030293,-34735.78286844948,0,0,13
35,35794.82974767613,-34824.30551455799,0,0,13
35,35641.31066922503,-34853.37496481613,0,0,13
35,35846.40586970334,-34748.31773919457,0,0,13
35,35772.058884199214,-34819.15098176868,0,0,13
35,35681.39343750972,-34863.35831494655,0,0,13
35,35867.631146265754,-34858.08128770623,0,0,13
35,35860.61958043027,-34854.14880380885,0,0,13
36,35613.303813920415,-34837.63505990912,0,0,13
36,35843.13213235416,-34931.852421408366,0,0,13
36,35819.27947391656,-35045.94354233103,0,0,13
36,35931.81856405979,-34764.154228731095,0,0,13
36,35812.90882993323,-34884.70396973638,0,0,13
36,36153.482791908136,-34441.27844849176,0,0,13
36,35851.21027868241,-34860.30417417668,0,0,13
36,35820.25850173587,-34949.34237205998,0,0,13
36,35453.2419437412,-34852.10277128818,0,0,13
36,35533.933304551065,-34727.39279448637,0,0,13
36,35652.86907666575,-34827.081606536565,0,0,13
36,35689.400898625405,-34922.47513328118,0,0,13
36,35999.83483404891,-34884.54617473749,0,0,13
36,35649.03991388601,-34915.636980765594,0,0,13
36,35770.73767490947,-34849.0647100281,0,0,13
36,35783.35398051227,-34940.4896590283,0,0,13
36,35865.23327698801,-35031.56578008753,0,0,13
36,35982.89222157849,-34838.14377246842,0,0,13
36,35959.1049449133,-34867.95347367543,0,0,13
36,36013.92362803964,-34949.72052724073,0,0,13
36,35733.607912886204,-34720.62206896783,0,0,13
36,35605.3806851802,-34733.996760492395,0,0,13
36,35834.89961009159,-35039.06668228282,0,0,13
36,35824.21318015518,-34862.12730631033,0,0,13
36,35705.45440379056,-34857.1197756308,0,0,13
36,35835.93313991917,-34890.55592655972,0,0,13
36,35870.617218627856,-34674.523078077924,0,0,13
37,35787.45971832932,-34891.74426168761,0,0,13
37,35842.15024273624,-34958.26848398106,0,0,13
37,35796.84054844994,-34885.82921554477,0,0,13
37,35793.37193127413,-34929.3868089778,0,0,13
37,35701.83554133425,-34974.5182417012,0,0,13
37,35999.57955970999,-34806.23946052792,0,0,13
37,35600.550449581846,-34988.36571497956,0,0,13
37,35771.41100444469,-34976.79221888872,0,0,13
37,35629.11517224964,-34773.14682712105,0,0,13
37,35813.9460463669,-34732.481185167184,0,0,13
37,35741.496246562885,-34990.58081152481,0,0,13
37,35860.689378926814,-35104.414569191555,0,0,13
37,35826.596673997235,-34954.503009470885,0,0,13
37,35909.05378131586,-34746.250930422786,0,0,13
37,35618.16285808519,-34722.68790863368,0,0,13
37,35643.82477482017,-34895.57766377478,0,0,13
37,35882.68863095596,-34803.90927901386,0,0,13
37,35617.42224511395,-34591.66563204589,0,0,13
37,36037.12239799172,-34957.23520956167,0,0,13
37,35651.78078561113,-34957.580778755255,0,0,13
37,35884.056665835255,-34922.4390912657,0,0,13
37,35817.777492502566,-34725.63335260914,0,0,13
37,35812.01208315401,-34655.002092060255,0,0,13
37,35916.08285191077,-34812.8775916745,0,0,13
38,35848.29385992996,-35014.88222294929,0,0,13
38,35740.00059088391,-34738.82003741102,0,0,13
38,35814.78138610642,-35177.45402648261,0,0,13
38,35918.26644474388,-34843.38298238659,0,0,13
38,35960.30851043487,-34921.9850062629,0,0,13
38,35785.92812717272,-35151.520057115245,0,0,13
38,35694.85657617295,-34814.18125789968,0,0,13
38,35863.38535469131,-34918.928547610936,0,0,13
38,35716.334055696585,-34959.28647715013,0,0,13
38,35744.48877204488,-34571.58743575031,0,0,13
38,35792.122036010434,-34795.36463298263,0,0,13
38,35496.84172303501,-34954.244879602484,0,0,13
38,35662.549376731185,-34756.53606039136,0,0,13
38,35408.66777696709,-34721.08962395575,0,0,13
38,35845.45088313141,-34713.54519948591,0,0,13
38,35783.580561388255,-34559.06434224792,0,0,13
38,35741.159380677265,-34637.20254812654,0,0,13
38,35823.98434423937,-34761.709986239606,0,0,13
38,35590.06164056308,-34941.87853594392,0,0,13
38,36169.61983608338,-35248.40882652854,0,0,13
38,35635.12471564766,-34694.26860196863,0,0,13
38,36099.63517977093,-34645.412804597705,0,0,13
38,36068.86354500624,-35105.502093968404,0,0,13
38,35814.749573436704,-34717.12515028978,0,0,13
39,35487.97643365238,-35081.561827099955,0,0,13
39,35485.31083996137,-34589.31906671389,0,0,13
39,35746.2704311836,-34983.39884812557,0,0,13
39,36014.937339250275,-34877.759404256416,0,0,13
39,35813.695422434605,-34919.519918710816,0,0,13
39,35648.948827631524,-34536.87748426155,0,0,13
39,35944.26588878221,-34656.13433461771,0,0,13
39,35746.64101246235,-34811.95804335161,0,0,13
39,35665.46880781026,-34834.64060772192,0,0,13
39,35924.28376436826,-34933.34824790999,0,0,13
39,35659.207860717965,-34870.41881920392,0,0,13
39,35865.18151772955,-34965.58896225885,0,0,13
39,36089.2016181342,-34922.480006591104,0,0,13
39,35691.042855821535,-34715.4578293972,0,0,13
39,35836.19185116752,-34931.47151775711,0,0,13
39,36165.35240845125,-34937.94642052341,0,0,13
39,36097.51934393141,-34849.51043477951,0,0,13
39,35654.750191407096,-34787.13828981337,0,0,13
40,35989.53145366911,-34693.13972088748,0,0,13
40,35176.859359058595,-35066.35442574845,0,0,13
40,35663.3889101704,-34848.9667681132,0,0,13
40,36290.79480203574,-35679.395040609284,0,0,13
40,36122.70399774294,-35061.31821732734,0,0,13
40,35710.59574836178,-34820.546344078946,0,0,13
40,36171.250819703935,-35271.91055627718,0,0,13
40,35779.93991321578,-34844.29874382738,0,0,13
40,35650.9536501058,-34690.62253982559,0,0,13
40,36076.36973582565,-34684.531515300085,0,0,13
40,35606.18808375451,-34596.62056176874,0,0,13
