Unnamed: 0,x,y,frame,label,DBSCAN,HDBSCAN
0,-35064.0653819371,-8619.200100925264,167.0,0,0,21
1,-35050.64412744919,-8713.082283209464,168.0,0,0,21
2,-35091.99469823015,-8514.629636691783,168.0,0,0,21
3,-35192.55416144228,-8663.86007448269,169.0,0,0,21
4,-35246.66023889115,-8570.117958941499,170.0,0,0,21
5,-35324.25137315592,-8459.727479660107,173.0,0,0,21
6,-35353.69629549,-8495.200736900943,173.0,0,0,21
7,-35375.425928545024,-8404.652669672625,174.0,0,0,21
8,-35461.46544020834,-8374.594849686644,175.0,0,0,21
9,-35424.23069886576,-8306.16967964036,179.0,0,0,21
10,-35527.523507393984,-8291.998766789491,179.0,0,0,21
11,-35519.64543004543,-8261.991885451647,182.0,0,0,21
12,-35554.326582560105,-8354.63569822911,183.0,0,0,21
13,-35512.15540072805,-8242.0116557205,185.0,0,0,21
14,-35550.47446011019,-8143.362544510289,186.0,0,0,21
15,-35658.58972575838,-8121.447321600525,188.0,0,0,21
16,-35659.44989728896,-8185.857910350272,188.0,0,0,21
17,-35742.79590924415,-8096.733883948064,190.0,0,0,21
18,-35757.28063262922,-8171.48706253979,190.0,0,0,21
19,-35864.1303444738,-8108.338235348958,192.0,0,0,21
20,-35859.706218083935,-8111.960356563489,192.0,0,0,21
21,-35932.78284636729,-8044.847123029953,193.0,0,0,21
22,-36004.260369351374,-8142.172099656125,196.0,0,0,21
23,-36037.673652357626,-8082.358239748878,196.0,0,0,21
24,-36074.19454852822,-8035.936306507849,197.0,0,0,21
25,-36044.02044272435,-7977.748490315394,198.0,0,0,21
26,-36145.82469900582,-7903.204842543413,199.0,0,0,21
27,-36169.28286623015,-7814.021745914783,200.0,0,0,21
28,-36215.28188284033,-7764.712431518864,201.0,0,0,21
29,-36231.91976300014,-7900.244428585443,201.0,0,0,21
30,-36190.30023515518,-7711.717279677505,203.0,0,0,21
31,-36187.93139323294,-7622.871938003172,204.0,0,0,21
32,-36269.98093846888,-7597.214576624787,206.0,0,0,21
33,-36341.4625991228,-7597.460868377549,207.0,0,0,21
34,-36346.82178889318,-7502.366420201305,208.0,0,0,21
35,-36438.12448085484,-7490.109840390155,209.0,0,0,21
36,-36496.4558945842,-7409.391178758797,210.0,0,0,21
37,-36435.9384281804,-7430.189064656568,210.0,0,0,21
38,-36452.44791111625,-7620.226574848986,210.0,0,0,21
39,-36596.1365282751,-7480.837211021701,211.0,0,0,21
40,-36662.59509495607,-7538.432775162505,214.0,0,0,21
41,-36670.7145976968,-7656.526362209289,217.0,0,0,21
42,-36754.260077831976,-7543.78811400996,217.0,0,0,21
43,-36722.68266949309,-7554.578923004824,217.0,0,0,21
44,-36798.96411293135,-7481.257515929077,218.0,0,0,21
45,-36907.566159662674,-7421.436174731079,222.0,0,0,21
46,-37005.61412486973,-7410.870310119712,224.0,0,0,21
47,-36999.76541173373,-7426.366758310341,224.0,0,0,21
48,-37038.96423241436,-7334.151041237465,226.0,0,0,21
49,-37130.34243241084,-7351.570604906491,227.0,0,0,21
50,-37015.74030067882,-7221.687013684593,227.0,0,0,21
51,-37144.48990699701,-7236.310611734174,228.0,0,0,21
52,-37234.3051360632,-7228.344198814744,231.0,0,0,21
53,-37238.84000092844,-7176.527597375614,231.0,0,0,21
54,-37306.5891212122,-7121.700547393011,233.0,0,0,21
55,-37337.28562910482,-7044.591083067222,234.0,0,0,21
56,-37233.01012962763,-7041.378655614537,234.0,0,0,21
57,-37359.76126096028,-7064.1108768227,234.0,0,0,21
58,-37407.564503218025,-7091.685970900082,237.0,0,0,21
59,-37463.54835695677,-6987.793629091067,239.0,0,0,21
60,-37509.72563157269,-7128.4713105817655,239.0,0,0,21
61,-37521.34053498788,-7082.905986089613,239.0,0,0,21
62,-37589.95662628208,-6996.764818533932,242.0,0,0,21
63,-37462.87296201479,-6993.05365589073,242.0,0,0,21
64,-37571.14976503243,-6979.817458564298,242.0,0,0,21
65,-37555.66789146067,-6902.864951900219,243.0,0,0,21
66,-37638.46994159656,-6901.907886032502,244.0,0,0,21
67,-37726.08980150017,-6837.976399375268,245.0,0,0,21
68,-37820.11218563838,-6816.870726734332,247.0,0,0,21
69,-37753.43898783938,-6711.04232008722,248.0,0,0,21
70,-37935.58621064081,-6898.487670158598,248.0,0,0,21
71,-37943.64503277409,-6770.364535819006,249.0,0,0,21
72,-37938.926774912,-6831.025178300548,249.0,0,0,21
73,-38015.63807108917,-6709.965421654712,250.0,0,0,21
74,-38091.66090941837,-6707.688507187339,251.0,0,0,21
75,-38049.9467921544,-6622.88549914626,251.0,0,0,21
76,-38129.131406595225,-6601.278761693082,252.0,0,0,21
77,-38132.43732029781,-6663.501716445312,252.0,0,0,21
78,-38142.84858341458,-6514.314268432552,253.0,0,0,21
