frame,x,y
106.0,-36102.05920997198,-11326.122847059058
76.0,-36454.77919542497,-10373.24373448037
187.0,-39000.23084866907,-14984.600192776652
121.0,-35638.41574926546,-12496.476557708684
60.0,-35655.36791639853,-10876.47119574518
61.0,-35734.30998563174,-10963.453353320883
62.0,-35791.387741306,-10999.297321561982
63.0,-35784.70042816803,-11118.995059676236
68.0,-35898.049629383175,-11143.316543136256
68.0,-35704.00646091105,-11164.921027630431
69.0,-35880.08848544012,-11207.27369606828
70.0,-35938.2876802999,-11130.235009128844
71.0,-36039.5974625679,-11224.549438246591
71.0,-36037.76320808376,-11116.842170087117
73.0,-36083.229199124486,-11269.485426230623
73.0,-36131.10126861135,-11252.721709217532
74.0,-36053.14373492012,-11375.083165695118
74.0,-36129.34709479065,-11364.30725843545
74.0,-36147.38940913459,-11344.322658417856
75.0,-36186.04827589536,-11365.73411052907
76.0,-36140.69391477546,-11498.73039122831
80.0,-36162.41232060111,-11563.024915265283
80.0,-36195.71349258183,-11602.380915657448
82.0,-36240.42546770108,-11661.2716738717
83.0,-36358.19108721645,-11674.57918103192
84.0,-36472.06557134348,-11671.817833138572
85.0,-36553.5555638063,-11649.949005075949
85.0,-36573.26438888097,-11694.997167933185
87.0,-36545.24449424783,-11776.30176741845
89.0,-36590.240124994496,-11878.065813571851
89.0,-36602.8033049148,-11853.200031053932
92.0,-36696.27095493786,-11868.668916763265
92.0,-36641.031207893626,-11938.519603294162
94.0,-36718.04548528528,-11961.868596486564
94.0,-36775.50059621931,-11893.261855214014
97.0,-36687.04335785119,-12040.128930966715
98.0,-36756.82152826868,-12007.042499448224
98.0,-36673.75389558278,-11944.250347827032
100.0,-36815.50266127441,-11889.627384768355
100.0,-36737.3207233474,-12102.327761709888
100.0,-36828.20872293592,-12004.838749899463
100.0,-36818.27525911001,-12021.50908326126
103.0,-36782.748004808345,-12102.267426292205
103.0,-36826.961789827015,-12097.667836595032
103.0,-36867.38059752018,-12067.224011136834
103.0,-36762.85073725037,-12107.986120980846
104.0,-36879.95147447504,-12187.857630243276
