frame,x,y
313.0,-19286.066592763607,-21684.17389086664
149.0,-11644.684591949012,-23402.09454287904
151.0,-11740.66175783964,-23407.96572885101
151.0,-11716.317656773192,-23328.428030058203
152.0,-11848.816974135882,-23384.60467989945
153.0,-11877.458707743095,-23459.443880065104
154.0,-11984.431473222352,-23525.920644819584
155.0,-12075.124170895246,-23546.633394627177
155.0,-12082.605486304965,-23520.174335814456
157.0,-12166.951305840848,-23612.744811682045
159.0,-12240.192180970063,-23546.74501287952
160.0,-12343.811261500556,-23525.76440152597
161.0,-12403.79741558527,-23514.45406906751
163.0,-12466.565728657575,-23553.08739446536
163.0,-12436.400946377858,-23423.035561060708
164.0,-12510.171401580235,-23588.82403786354
165.0,-12465.451767121842,-23709.22158458384
171.0,-12556.30671689431,-23671.08511425689
172.0,-12634.07052419162,-23734.073527436187
172.0,-12602.763303474128,-23738.776647668576
173.0,-12676.748962240832,-23765.913074545784
174.0,-12722.615174363214,-23755.86504961924
175.0,-12735.878514316162,-23643.862345262776
175.0,-12795.125085351585,-23709.791755876253
176.0,-12835.47699039377,-23607.06553719487
176.0,-12854.86924187982,-23756.11130937283
176.0,-12815.14257627572,-23637.95942449592
177.0,-12922.050740543722,-23622.45443014716
181.0,-13025.355476421895,-23667.5725593794
181.0,-12995.391385904331,-23558.75551850145
183.0,-13064.194475791448,-23569.7786286746
183.0,-13124.07378565236,-23614.807234981443
184.0,-13204.876358358291,-23663.41894177599
185.0,-13242.378471043106,-23754.192539918346
188.0,-13339.680237235472,-23754.1223303584
190.0,-13451.612475404769,-23705.462607723723
191.0,-13567.084483459868,-23774.97232026618
191.0,-13554.158135216663,-23698.668167996995
192.0,-13624.85476724549,-23726.462197242872
192.0,-13656.707000522723,-23686.57302767388
193.0,-13709.561391137811,-23692.82743850398
193.0,-13746.962676886606,-23720.060848511992
194.0,-13838.318249508113,-23752.17417248746
195.0,-13908.238375786414,-23794.408257334508
196.0,-13977.65964803912,-23767.65874877208
197.0,-14020.714774860471,-23877.40596513283
197.0,-14041.989383733122,-23725.456642316884
198.0,-14076.93988454814,-23701.406964955244
199.0,-14160.452592564743,-23639.69618982815
199.0,-14100.13689372882,-23787.16153884948
200.0,-14224.936599571356,-23691.54320244993
201.0,-14280.823232626495,-23736.66500245876
201.0,-14297.188858706551,-23653.0672625686
202.0,-14357.282440504952,-23738.61752794848
202.0,-14385.92452620488,-23650.40664706423
202.0,-14396.770678583913,-23712.168853999305
204.0,-14435.61419532662,-23605.80508792995
205.0,-14506.54611885698,-23612.81448810976
205.0,-14532.622688844513,-23556.39252703015
207.0,-14606.410708504423,-23569.43303669764
207.0,-14587.027737630502,-23616.85751466644
