frame,x,y
61.0,-17669.382586876116,-29505.812891491518
220.0,-18104.849085863003,-29784.794481848403
216.0,-18653.125235831343,-27776.78118115799
230.0,-18890.72843289723,-28191.430903848544
7.0,-17659.691976855283,-29600.26863881813
222.0,-18034.6539172422,-29535.980257971663
219.0,-18828.79110845156,-27550.18957455497
220.0,-18801.33029835656,-27641.549139868785
220.0,-18833.34178342037,-27638.52175911796
223.0,-18748.17832909324,-27646.54739988893
224.0,-18751.23223249593,-27747.86310470645
227.0,-18804.12399522393,-27817.138243520843
227.0,-18762.5768215313,-27809.223441402555
228.0,-18689.564061459518,-27858.92933035928
229.0,-18645.113715019408,-27959.001596427504
229.0,-18580.40034041917,-27924.03572462536
229.0,-18733.379014591097,-27943.564149001755
230.0,-18590.02556085983,-28037.96269523156
230.0,-18710.28485076228,-27999.445101156147
230.0,-18528.36916051265,-28004.916693521543
231.0,-18508.339273334328,-28083.357052276897
236.0,-18602.50556182805,-28137.23065803533
237.0,-18530.55228833899,-28119.330700070183
237.0,-18493.19621002895,-28184.467866103827
239.0,-18557.161323758068,-28234.88885858908
240.0,-18549.183180717435,-28334.634619363456
241.0,-18451.706437248373,-28377.27438835105
242.0,-18465.92594484188,-28485.49750958411
242.0,-18457.787596702983,-28466.597540898107
243.0,-18548.88640232105,-28504.363851411883
243.0,-18453.2387396687,-28579.926785687832
243.0,-18379.91502352816,-28568.11292171783
245.0,-18408.98310957916,-28625.7117631022
245.0,-18371.045195287228,-28620.971960310653
246.0,-18296.22867044308,-28676.28824687289
247.0,-18239.88381523092,-28748.319069052977
249.0,-18131.51042298038,-28694.25906135029
250.0,-18115.26199995511,-28787.49494955381
251.0,-18035.631147489727,-28804.577548297653
251.0,-18036.420690707622,-28739.752701207944
257.0,-17915.101572919215,-28771.92768262192
258.0,-17940.947177271766,-28862.41706589616
260.0,-18015.97303594891,-28905.343237273213
260.0,-17854.642663564937,-28837.401597004544
262.0,-17979.380052926088,-28960.39492242891
262.0,-17903.01774478354,-28977.88434048877
263.0,-17945.743870572885,-29049.35684159594
264.0,-17864.47632226941,-29024.38835715431
264.0,-17879.186996991997,-29125.07059988371
264.0,-17952.269514545067,-29124.265038893675
265.0,-17836.322253539136,-29174.78190560612
265.0,-17913.7134562635,-29181.296946140435
266.0,-17805.06363382804,-29239.562438433717
268.0,-17722.993814853275,-29285.39529067376
272.0,-17699.36097457224,-29420.156759209374
272.0,-17821.295168970166,-29368.17909998544
274.0,-17798.403170862777,-29461.00041554425
275.0,-17688.888943791724,-29466.436036503404
275.0,-17702.186461066325,-29443.19353488792
275.0,-17768.838785208474,-29560.588177842303
275.0,-17714.919516708633,-29514.17256387084
275.0,-17772.646675807177,-29570.26685128596
276.0,-17664.741792698387,-29553.72372332324
277.0,-17602.925198524026,-29529.55159785338
278.0,-17661.341953904368,-29569.50698375021
278.0,-17670.624868842035,-29567.66395300683
278.0,-17653.26968497951,-29572.453404577336
278.0,-17652.203515525423,-29510.992063362093
278.0,-17492.948657961173,-29478.72766567397
278.0,-17570.776466311843,-29611.92841186493
280.0,-17557.135127123398,-29667.405744739863
280.0,-17748.12648442685,-29542.095234040167
280.0,-17460.35337617846,-29609.59063507526
281.0,-17389.6845380363,-29661.894018529583
281.0,-17397.395587495685,-29691.201849420027
284.0,-17383.560509941126,-29772.07624862516
284.0,-17294.656627489094,-29607.287958974302
284.0,-17343.941171288207,-29725.7374425792
285.0,-17282.691777515643,-29787.03844288596
286.0,-17681.68678041103,-29716.231259090386
286.0,-17548.752063840122,-29662.6917831254
286.0,-17665.123151619762,-29667.57437025658
286.0,-17271.30839931214,-29879.138785680392
287.0,-17688.850311791182,-29789.95205541456
287.0,-17175.45385856014,-29961.929674999745
287.0,-17194.562868866804,-29927.03319414905
287.0,-17214.863964204018,-29810.22619577294
288.0,-17109.26788517071,-29840.49491528513
289.0,-17601.396700709916,-29733.66429737165
289.0,-17670.88973104954,-29898.30134489774
289.0,-17060.0373469309,-29940.12415596562
290.0,-17616.807930113504,-29911.245918191653
290.0,-17592.28666204897,-29896.68095833289
290.0,-17584.684684216714,-29900.18425406903
290.0,-17005.43947232193,-29916.34890016864
291.0,-17540.31403219408,-29973.824854617134
291.0,-17520.381106027337,-29888.63225188152
292.0,-17531.27952351992,-30030.863449394423
293.0,-16960.14999907584,-29857.394103836737
294.0,-17542.067109346983,-30107.67825309025
294.0,-17619.775322100246,-30065.733759983752
294.0,-17441.95157024383,-30124.36717227924
294.0,-16883.4764311797,-29804.021050177245
294.0,-16959.57813213027,-29721.248690347624
295.0,-16933.726666280094,-29653.03740774892
295.0,-16808.85114938194,-29819.730252639707
295.0,-16807.844587430664,-29805.41043253676
295.0,-17438.86909615466,-30081.29039298969
295.0,-17593.572375539774,-30192.4182157269
296.0,-17516.929552216967,-30173.217556682517
296.0,-17458.53685085784,-30202.343944599143
296.0,-17475.835343451734,-30124.112127664164
296.0,-17478.72614108344,-30036.49324606611
296.0,-17571.170078575058,-30234.846319388827
296.0,-17573.43843000685,-30205.60257783167
296.0,-17590.03806441312,-30257.85226349736
297.0,-17403.203726848587,-30192.29905316207
297.0,-16753.514828949294,-29790.2629067495
297.0,-16735.486155866725,-29797.150286607
297.0,-17549.495036906508,-30312.68899782168
298.0,-16655.61187293092,-29821.35810945428
298.0,-17592.78769990036,-30420.80723711183
298.0,-17619.38657446967,-30388.839955298285
299.0,-17479.341509162372,-30237.18428556475
299.0,-16606.66897393314,-29933.41948755175
299.0,-16552.08404633682,-29740.770292453715
299.0,-16564.44543413171,-29823.40377851972
300.0,-17658.624773593143,-30469.3250150424
301.0,-17493.74411107142,-30335.9586348442
301.0,-17379.471826648572,-30305.13505245857
301.0,-16489.649317865937,-29806.705250129355
301.0,-17715.212465413373,-30581.611756939703
302.0,-17406.42375605052,-30405.024385413253
302.0,-16428.442630151887,-29761.39801036631
302.0,-16385.999771443072,-29804.515729883096
302.0,-16545.433417367603,-29753.131794943645
302.0,-17765.099926945397,-30680.87891364037
302.0,-17695.121022145995,-30649.65192952647
304.0,-17340.103094878723,-30340.20461181673
304.0,-17350.094667233985,-30462.68023199642
305.0,-17269.077712418555,-30498.41780466212
305.0,-17202.360415844898,-30407.13542287925
305.0,-16366.038673713294,-29734.762488252472
305.0,-17825.984582567926,-30720.9980119334
