,x,y,frame,label,Rough_label,Final_label
0,23468.03229616739,13589.033148535193,345.0,0,28,54.0
1,23671.69878937068,13252.319716817949,345.0,0,28,54.0
2,22328.074130700727,13445.249743717744,346.0,0,28,54.0
3,23810.0661129622,12645.392926026774,346.0,0,28,54.0
4,23794.743074734164,12755.142788910103,347.0,0,28,54.0
5,23714.17729910505,12755.516605840934,347.0,0,28,54.0
6,21529.32291770805,12979.440855537909,347.0,0,28,54.0
7,24597.79460228513,11531.87256974027,347.0,0,28,54.0
8,23556.910508476343,13350.76342988846,348.0,0,28,54.0
9,23619.36096138998,12543.988661288287,348.0,0,28,54.0
10,21986.375992955524,13308.04384838535,348.0,0,28,54.0
11,23961.989588392287,13084.160627082614,348.0,0,28,54.0
12,23474.569731888056,13021.799962493496,348.0,0,28,54.0
13,24521.059390712733,12165.613047567364,348.0,0,28,54.0
14,21462.528912837635,12914.439477015052,348.0,0,28,54.0
15,24156.466346567373,11920.48634806164,348.0,0,28,54.0
16,23510.31918877144,13298.93248831055,349.0,0,28,54.0
17,22524.60789140832,13630.660849804435,349.0,0,28,54.0
18,22887.62718156017,12996.296130962492,349.0,0,28,54.0
19,23207.45970339515,12819.087285327252,349.0,0,28,54.0
20,23604.09888597953,13204.483616534611,349.0,0,28,54.0
21,20799.520391010123,12724.479753650196,349.0,0,28,54.0
22,24697.11171994241,11141.625602288575,349.0,0,28,54.0
23,22894.1409313724,14336.133876220496,350.0,0,28,54.0
24,23142.1506110455,14223.731651824197,350.0,0,28,54.0
25,23274.29160336926,13234.1350800238,350.0,0,28,54.0
26,23813.75709212891,12684.255181437182,350.0,0,28,54.0
27,22656.478477517547,12797.564186690488,350.0,0,28,54.0
28,23833.27051623535,13669.83877999521,350.0,0,28,54.0
29,24313.02101831985,12074.75786270781,350.0,0,28,54.0
30,21477.18425333166,12783.643196169836,350.0,0,28,54.0
31,24999.012821562763,11362.125785266211,350.0,0,28,54.0
32,23278.02953321416,12797.151932464556,350.0,0,28,54.0
33,21134.887290699684,12832.335284002009,350.0,0,28,54.0
34,23765.970751641154,12723.78867093594,350.0,0,28,54.0
35,22991.952429402485,12984.811933018693,351.0,0,28,54.0
36,22949.0670475284,12401.936022072152,351.0,0,28,54.0
37,23239.47287327049,13087.92021453775,351.0,0,28,54.0
38,21001.74182873871,12219.13772066516,351.0,0,28,54.0
39,24717.539604153284,10680.936086642909,351.0,0,28,54.0
40,23589.951366663696,14430.814593399302,351.0,0,28,54.0
41,22811.529484972907,14298.979521588257,351.0,0,28,54.0
42,24002.0801397158,13104.75026724921,352.0,0,28,54.0
43,22427.461384023325,14242.534021602807,352.0,0,28,54.0
44,22875.788392841103,13809.025356347656,352.0,0,28,54.0
45,22837.632729511315,13509.097173235075,352.0,0,28,54.0
46,23834.614536774126,12165.048964077469,352.0,0,28,54.0
47,22388.647888608037,12776.743467628809,352.0,0,28,54.0
48,23992.41423132372,13984.650421446604,352.0,0,28,54.0
49,23988.548670003554,12065.755907637118,352.0,0,28,54.0
50,20853.369100857253,13300.23898818526,352.0,0,28,54.0
51,25203.57703125261,11736.531147956071,352.0,0,28,54.0
52,23480.76266306726,12693.40885042872,352.0,0,28,54.0
53,20849.058575645795,12587.585942635087,352.0,0,28,54.0
54,23979.838647820456,12912.454834875358,353.0,0,28,54.0
55,21757.97984003764,12725.591160832446,353.0,0,28,54.0
56,25011.893444019464,10275.363752118206,353.0,0,28,54.0
57,23179.700968953777,13014.721496152137,353.0,0,28,54.0
58,23266.53250288584,12443.895277568516,353.0,0,28,54.0
59,22740.401843977463,12251.71669174394,353.0,0,28,54.0
60,22274.757673220305,11521.87336935054,353.0,0,28,54.0
61,22445.25575323868,12939.969333203444,353.0,0,28,54.0
62,20430.74453719054,12543.917641891328,353.0,0,28,54.0
63,24365.76601707713,12448.676213602626,354.0,0,28,54.0
64,24503.66309711533,10256.69436445758,354.0,0,28,54.0
65,22822.677077365795,14331.769652794508,354.0,0,28,54.0
66,24220.026633390466,12542.962662106034,354.0,0,28,54.0
67,22743.147793710497,14715.00835422348,354.0,0,28,54.0
68,23000.45982575208,13475.898157539415,354.0,0,28,54.0
69,22489.789866548155,12899.544522380736,354.0,0,28,54.0
70,24962.15517374552,11764.803277616198,354.0,0,28,54.0
71,22883.683813099346,13400.59566564034,354.0,0,28,54.0
72,23733.684490426967,14031.245489222136,354.0,0,28,54.0
73,24410.85860825577,12483.87871927643,354.0,0,28,54.0
74,22566.68287134772,13130.626137564192,355.0,0,28,54.0
75,21142.27754872424,13044.285208816204,355.0,0,28,54.0
76,24137.86592590467,11208.31128742547,355.0,0,28,54.0
77,22513.79357623364,12833.561661557686,355.0,0,28,54.0
78,21292.59989158853,12702.612376615736,355.0,0,28,54.0
79,22756.91641798677,12974.765942101136,355.0,0,28,54.0
80,21424.38200240492,11591.68049094015,355.0,0,28,54.0
81,24785.70998675251,9892.348588688605,355.0,0,28,54.0
82,22516.086580769253,12613.013855242723,355.0,0,28,54.0
83,23029.18837531321,11972.84718545357,355.0,0,28,54.0
84,21955.496914113934,11262.222216852871,355.0,0,28,54.0
85,22933.32406913402,12702.68354592166,356.0,0,28,54.0
86,20465.64918058176,12179.211286528094,356.0,0,28,54.0
87,24031.27326563991,12704.242498344487,356.0,0,28,54.0
88,24178.376003872418,10800.802403505442,356.0,0,28,54.0
89,23227.646261349124,14782.037423422362,356.0,0,28,54.0
90,24070.595929134288,13027.99481479856,356.0,0,28,54.0
91,23091.62946075281,14255.953226274996,356.0,0,28,54.0
92,24051.07886774925,13810.367216752646,356.0,0,28,54.0
93,22642.91366690974,13148.165501471836,356.0,0,28,54.0
94,24485.58098232185,12484.36016115256,356.0,0,28,54.0
95,24098.39202376924,14201.408143688035,356.0,0,28,54.0
96,22808.350515953032,14419.586282308905,356.0,0,28,54.0
97,24740.886642516667,12152.993648864704,356.0,0,28,54.0
98,21960.463415925587,13038.373301258314,356.0,0,28,54.0
99,20629.395426509214,12318.325397843784,356.0,0,28,54.0
100,23977.79711587791,10822.090399745475,356.0,0,28,54.0
101,22305.70378830804,11734.711086608471,356.0,0,28,54.0
102,21480.4510477196,12571.675832690053,356.0,0,28,54.0
103,22805.90092761706,12712.817302184974,356.0,0,28,54.0
104,20497.33855550169,11569.970723475952,356.0,0,-1,-1.0
105,25372.421333113118,10723.850188423172,356.0,0,28,54.0
106,22569.63697780419,12758.228640780757,356.0,0,28,54.0
107,23252.633488853164,14042.228294945866,357.0,0,28,54.0
108,22098.452621174685,10814.512937507254,357.0,0,28,54.0
109,22577.308029281263,12690.838674000455,357.0,0,28,54.0
110,21414.0132915914,11921.228890977842,357.0,0,28,54.0
