,Unnamed: 0,x,y,frame,label,Rough_label,Final_label
0,0,159.16415296433843,15793.201358353605,143.0,0,42,52.0
1,1,194.9258681695568,15704.73659165958,144.0,0,42,52.0
2,2,268.15676714249275,15628.784831395194,146.0,0,42,52.0
3,3,280.07213912662377,15523.679500011664,147.0,0,42,52.0
4,4,244.43668507219985,15513.38657376956,147.0,0,42,52.0
5,5,360.2183532448248,15517.115019111034,149.0,0,42,52.0
6,6,301.00653184759005,15472.67973018323,150.0,0,42,52.0
7,7,390.79494311604185,15408.467969612697,150.0,0,42,52.0
8,8,273.653080575756,15493.861162235717,150.0,0,42,52.0
9,9,395.8119256041681,15469.842788434458,152.0,0,42,52.0
10,10,345.4382036879671,15404.36857233903,153.0,0,42,52.0
11,11,358.3172838861522,15318.17711516082,154.0,0,42,52.0
12,12,273.1946142171615,15355.985792113166,154.0,0,42,52.0
13,13,326.8216074368253,15256.919602572963,155.0,0,42,52.0
14,14,290.674042744087,15227.75830061246,155.0,0,42,52.0
15,15,277.33935708484154,15296.042277811854,155.0,0,42,52.0
16,16,395.9652006980293,15254.959735057968,156.0,0,42,52.0
17,17,480.8730674448965,15153.792112055657,157.0,0,42,52.0
18,18,479.596218959492,15190.586001758018,157.0,0,42,52.0
19,19,376.0651814821704,15106.995168113875,159.0,0,42,52.0
20,20,337.8353708861485,14996.47794801814,162.0,0,42,52.0
21,21,349.72184522674445,14883.392083926848,163.0,0,42,52.0
22,22,395.04878137793713,14807.22384610358,164.0,0,42,52.0
23,23,517.9906221499483,14807.999529388222,165.0,0,42,52.0
24,24,354.5105520942047,14704.470533025262,165.0,0,42,52.0
25,25,490.2793511317867,14807.505227933674,165.0,0,42,52.0
26,26,333.8650329344446,14707.53383379382,168.0,0,42,52.0
27,27,394.8009532576736,14622.220935977755,169.0,0,42,52.0
28,28,346.5557375625827,14601.759948604617,169.0,0,42,52.0
29,29,412.4040040002992,14537.464826124604,171.0,0,42,52.0
30,30,480.032246537308,14468.165783105746,172.0,0,42,52.0
31,31,397.5763866707441,14466.19871538823,172.0,0,42,52.0
32,32,507.20209205093886,14414.210703644165,173.0,0,42,52.0
33,33,438.5547583242375,14376.247403246536,173.0,0,42,52.0
34,34,472.2469044931352,14332.51582745459,174.0,0,42,52.0
35,35,389.5042077118454,14225.541893312486,176.0,0,42,52.0
36,36,404.8571662119316,14103.557040791478,177.0,0,42,52.0
37,37,392.9580562642441,13989.553987485311,179.0,0,42,52.0
38,38,431.3640646895996,14007.876554678198,179.0,0,42,52.0
39,39,499.6579753019538,14106.612997022074,179.0,0,42,52.0
40,40,333.0129292978395,14035.005745436312,180.0,0,42,52.0
41,41,430.5506477066159,13971.264573411849,180.0,0,42,52.0
