x_ratio,y_ratio,ratio_sym,x_dist_ratio,y_dist_ratio,N,Area,Density,Cut_distance,Mean_k,Median_k,k_max,L_s_d,L_s_path,L_s_step,L_s_mean,L_s_median,L_l_max,L_s_effectiveness,L_s_ratio,L_l_d,L_l_path,L_l_step,L_l_mean,L_l_median,L_l_effectiveness,L_l_ratio,Ls_ll_d_ratio,Ls_ll_path_ratio,State_diff,mu_1,sig_1,w_1,mu_2,sig_2,w_2,mu_3,sig_3,w_3,mu_4,sig_4,w_4,Variance,Circularity,Convexity,Circ_inertia,Sph_value,Pearson,Spearman,UMAP_ID,clust_nr,Growth_type
8.902439024390244,1.092783505154639,9.728438521498616,5.711872462899667,1.2688492448638535,406,7234990.012396225,5.611617974653333e-05,613.955412418224,54.556650246305416,56.0,138,5184.497059877968,7988.824720632834,85,93.98617318391572,76.9532732505901,396.63362535359977,60.99408305738786,0.6489686832767659,4394.049021739572,10433.70551502398,96,108.68443244816648,84.61402476602215,108.68443244816648,2.374508218593645,1.1798905825191417,0.7656747364710794,21.84691843438349,21.992649084510468,11.418487976368738,0.1708008553416911,23.206637863698464,3.445002149033148,0.2501655115804334,58.54282519315006,5.043891183885745,0.1962706085269294,87.53340438766092,21.149678144513544,0.3827630245509462,0.3249836549199566,0.2377517425916415,0.6693605733156875,0.5579931337378311,0.5350304486813009,-0.1163783905924331,-0.1907583355859218,0,245,Aniso
9.138801261829652,1.1716216216216215,10.707217154062578,2.7746896303711672,1.7533776557318683,3214,31062574.96561233,0.0001034685631683,417.5462527600481,70.63534536403236,51.5,232,11400.765765167407,23462.0148278761,330,71.09701462992761,56.794527018278245,316.16613604820105,34.54777504596184,0.4859244122385316,11013.26355054374,24260.700021521458,345,70.32086962759844,56.42018131765473,70.32086962759843,2.2028620227038584,1.0351850487228682,0.9670790540694684,55.52834138536033,25.350470342729786,13.63041533006878,0.4485061122313294,65.20745047140859,17.6285484792728,0.2638683490745351,117.94160380434522,21.75962838214394,0.1776663953230912,191.93549449881075,24.112035710294027,0.1099591433710441,0.6785443096009429,0.338937292743256,0.748545106629727,0.7970291602600648,0.5514918125080261,-0.1913252875144553,-0.179778090661879,1,127,Aniso
1.1442307692307692,2.9352941176470586,3.358653846153845,1.227049583412306,1.839236358231488,669,13468222.880050791,4.967247765040527e-05,613.9298785281521,67.9252615844544,71.0,144,8002.271077758598,11924.24719195468,148,80.56923778347755,57.84409681867948,563.1699892370382,54.06939917404458,0.671092350648161,6691.756007930063,12990.562005960352,158,82.21874687316676,61.14464610726824,82.21874687316678,1.941278491111435,1.195840235100549,0.9179161907301298,35.633948764006824,17.580321982500656,8.563957988592627,0.3402204167119315,65.09405682475791,13.473119885193093,0.2390325341475858,95.65388418561962,10.347431851009656,0.2078176141448185,124.48216827452111,10.066779417573525,0.212929434995664,0.3093725001791537,0.2311550339708591,0.7114131196822335,0.4554506693897112,0.5221615807159126,-0.1909295326692246,-0.2414122694975486,0,94,Aniso
1.308662152696708,1.3526052819414704,1.7701033400144623,1.0774878813284805,1.2253712785104098,9888,252748073.44610077,3.91219599231036e-05,545.0060124847492,41.10275080906149,39.0,115,23485.621990361567,55458.993030622056,548,101.20254202668252,86.99630615258422,395.4334895284647,42.85697443496636,0.4234772524159215,13286.320165521764,61298.03598762118,591,103.71918102812369,88.06627905830338,103.71918102812384,4.613620266858439,1.767654376665344,0.9047433924607586,22.97728307251684,16.255326375875303,7.938095970802374,0.3131916753739967,37.159028014777576,8.426011227165832,0.3266273948281176,57.59568732924586,9.334805320106392,0.2467512681473102,85.18717559342582,10.640836610353832,0.1134296616505755,0.0251489353185921,0.5750619170767775,0.9129210896275286,0.9010024939079228,0.8409591413234092,0.0346362834652886,0.0286846068834627,2,43,Iso
2.6666666666666665,1.8841463414634143,5.024390243902438,2.6957861965976444,1.1685377568082689,473,30095150.5659287,1.5716817862858357e-05,1012.332541297347,62.245243128964056,49.0,136,9309.54406128042,16492.88712121425,126,130.89592953344638,81.33836335853559,843.5584747271286,73.8852703276224,0.564458120210249,3616.235357857584,21929.174052659477,147,149.1780547799964,115.1535935150792,149.17805477999642,6.064089275884763,2.574374491707808,0.7520979623586902,33.02736390964544,18.235293395962422,8.90820241945911,0.260321266557003,42.68811216143671,9.199042589912446,0.2946976420669642,84.4109835886316,11.987424495705506,0.2214127121863128,117.31738512489872,11.307626505030813,0.2235683791897198,0.1817355068276045,0.4513067189085099,0.8307829558968739,0.5204515986398827,0.6552014416544154,-0.2250108967449396,-0.2178629698188331,2,42,Iso
1.1486810551558753,3.2666666666666666,3.752358113509192,1.5975930765122608,1.0428725397251322,896,20515872.54844912,4.36735019621543e-05,810.7844174162842,85.14955357142857,66.0,190,12772.061166799738,17619.905589360656,148,119.0534161443288,74.18778463007908,750.6691562540085,86.29771058648471,0.7248654711584738,8224.425957291176,19845.08019667465,160,124.03175122921668,70.77945545827355,124.0317512292166,2.4129441130272995,1.5529425680435436,0.8878727329261759,54.07498734256533,19.66457751671648,11.513480315148875,0.2808777069769004,64.18068413616983,18.85776095645889,0.351064709331118,135.4751358404544,23.30425480469151,0.2122441468271314,181.8895395444125,3.536375330275872,0.1558134368648501,0.3347875840016395,0.2569712609937069,0.6984941043409265,0.6463190098371766,0.5667491977925426,-0.4769910224083537,-0.3950383294140884,0,56,Aniso
14.75,1.2183098591549295,17.970070422535212,4.368683401653773,1.2597187339781724,315,2897331.786031788,0.0001087207207399,443.24673697085245,52.56507936507936,55.0,105,4329.8334311211065,6588.808356249811,94,70.09370591755122,55.17881760654481,324.68755633077194,46.062057777884114,0.6571496994618222,3575.310715155483,7507.70673193688,96,78.20527845767582,63.93253944454676,78.20527845767583,2.099875319958138,1.2110369632399378,0.8776059842910239,23.43671046482888,18.973724034050527,8.161774677937474,0.2762113449068564,38.34092817178492,2.473307565716304,0.1680421958302478,61.84078919422295,6.541603400391525,0.3183958628222851,89.28385542853715,7.969444269787778,0.2373505964406106,0.7370180667320589,0.1957412930775282,0.6890997896544967,0.3948722186776913,0.3856738086694143,0.15233736888191,0.3500788979624745,1,81,Aniso
1.560919540229885,1.2235528942115768,1.9098676210796797,1.684220820342536,2.1610736221015454,1114,30398013.54458783,3.6647131509629206e-05,686.6801815056674,49.086175942549374,49.0,115,14413.700951227029,27284.52552681956,251,108.7032889514723,83.99348848420767,653.2862130179369,57.425103391342745,0.5282738355504463,14351.971566910825,27553.00938890915,253,108.90517545023374,83.99348848420767,108.9051754502338,1.9198065757344425,1.0043011083200948,0.9902557336550808,24.272179504821157,20.09535211200649,8.261992974223151,0.2846907280904101,48.32438379661912,7.613250875010316,0.38814075474628,69.57623469294224,8.075122914481069,0.2480878523625946,92.91189062646995,10.587651300602236,0.0790806648007154,0.3181740541792136,0.1963869098217678,0.6977362454390358,0.3111406075310416,0.471772427153158,0.2375006398836113,0.2787630369251904,3,132,Aniso
2.0195121951219512,4.032520325203252,8.143723973825104,1.4080932772711332,3.86349192894261,619,11403071.535344576,5.428361981956954e-05,588.3426532710847,53.20840064620356,42.0,135,6352.69630960955,14314.958518006186,154,92.95427609094924,71.04194317912106,363.8638495814752,41.25127473772435,0.4437802807195535,2832.0420156884697,17360.889083980423,179,96.98820717307493,82.61230431533362,96.98820717307498,6.130166497462781,2.243150445656509,0.8245521556390314,30.081001330160177,23.939463810964217,10.656256212716965,0.3695599725680755,43.629364822568,12.074287755123414,0.2895701395347403,83.4155254904012,10.381194835875364,0.2338156690752487,114.18246780144474,10.101007061576214,0.1070542188219352,0.2565558077476804,0.2839710838853056,0.7137175112211035,0.7505974647344399,0.6229325630232921,0.1409643768927594,0.2059712102453519,4,126,Iso
3.4715447154471546,1.288488210818308,4.473044439182257,1.5936494869123887,1.0396415167514617,8250,69887039.50829422,0.0001180476388475,348.0197021683329,56.89890909090909,48.0,215,14079.895484106371,29883.720662690637,530,56.38437860885029,44.61596171200036,342.30238704427217,26.56584053604976,0.4711560398730706,11049.696560801944,37737.44683893463,659,57.26471447486282,44.97671440893451,57.26471447486287,3.4152473446923133,1.274233677515983,0.7918850681720969,47.15995578632359,21.99260999207222,11.472057088410034,0.4244120559068422,58.204023564997335,14.364209385082647,0.3184069626961258,94.40115736189908,17.962838469654415,0.1883502190083993,163.47247735104295,25.942034492251366,0.0688307623886327,0.3046557600228096,0.2943813607021097,0.7222512994838574,0.8551864038303164,0.6417908259983685,0.0900292249727042,0.1029713679214426,4,287,Iso
