,N,Area,Density,Cut_distance,Mean_k,Median_k,k_max,L_s_d,L_s_path,L_s_step,L_s_mean,L_s_median,L_l_max,L_s_effectiveness,L_s_ratio,L_l_d,L_l_path,L_l_step,L_l_mean,L_l_median,L_l_effectiveness,L_l_ratio,Ls_ll_d_ratio,Ls_ll_path_ratio,State_diff,mu_1,sig_1,w_1,mu_2,sig_2,w_2,mu_3,sig_3,w_3,mu_4,sig_4,w_4,label,Umap_label
0,281.0,23998.289686710705,0.011709167764384751,41.608441416578074,39.245551601423486,37.0,79.0,323.31426768504554,527.1475131394615,65.0,8.109961740607098,6.461462081499331,29.70105357422219,4.974065656693008,0.6133278819044906,255.46639975425407,724.7015032207328,86.0,8.426761665357358,6.783873071428171,8.426761665357358,2.8367781591546266,1.2655843116592151,0.727399502825235,19.322443269479752,9.941158472969562,2.3804988636813205,0.11753731564117095,28.56999284365674,7.3241705376044655,0.36412122352619464,42.49646976515626,6.909783563188147,0.2961445681352688,67.90848828140882,3.89994540418586,0.22219689269736564,0,0
0,109.0,8684.998028321226,0.012550377057606454,37.215885919892045,28.55045871559633,30.0,49.0,165.093716784427,339.051716451631,46.0,7.370689488078935,6.553668450456605,20.14521331856894,3.588993843139717,0.48692783069269374,56.11276556777411,378.81365147730423,52.0,7.284877913025079,6.529436477048417,7.284877913025081,6.750935328962989,2.9421775083429726,0.8950356332972454,8.437021069333035,14.946032246727745,4.314827591121521,0.3508978223292296,26.372433837226296,0.4835338035439004,0.07108689062807168,30.758763659545444,1.1251881203658978,0.19351001801469422,40.25709545472685,3.143326809349664,0.38450526902800447,1,1
0,690.0,58710.990345406644,0.011752484431630498,44.02630543845811,48.96811594202899,50.0,100.0,482.95278997311266,661.0886242856647,83.0,7.964923184164632,6.124520471885562,40.30450363453259,5.818708312929068,0.73054167358418,288.637096763724,762.4923856611138,91.0,8.379037205067181,6.61958882375196,8.379037205067185,2.6416991932443246,1.6732180145522109,0.867010132451975,18.76043700229654,23.900998404038997,9.385592561099294,0.33221760559655417,45.50769986669218,7.635540444379324,0.2517107396147722,65.44743625248293,5.898279286605141,0.25711653106094484,80.18230941092862,8.283456958917483,0.15895512372772885,2,0
0,122.0,8207.132772205368,0.014865118353290262,38.42978455904673,43.63934426229508,52.0,71.0,187.94949944446108,282.74075436923323,37.0,7.641642009979276,5.043153500422376,21.936515812584204,5.079716201201651,0.6647414514534981,180.2113214519426,324.01282760832174,46.0,7.043757121920034,5.565539051345159,7.043757121920038,1.797960444425946,1.0429394664562295,0.8726221009713243,18.822848198802106,10.337916149182716,6.0399908517261975,0.14827199921765116,22.387801056620372,3.3116156186791432,0.2691839480785906,53.3312825203397,8.408726689364444,0.21058142995991883,66.80646074558904,2.7936037908850837,0.37196262274383946,3,1
0,166.0,10061.635753517636,0.01649831141442036,35.075633476333806,53.91566265060241,57.0,89.0,189.90992707441254,310.0594113633717,48.0,6.459571070070241,3.5703231470990047,21.7259244422872,3.956456814050261,0.6124952835308363,117.996627080202,374.3225289600912,69.0,5.424964187827407,4.335868929580115,5.424964187827408,3.1723154993715634,1.6094521663346466,0.8283215339048668,23.454436428293576,12.856958888072096,6.476095763812748,0.21665828767928108,35.182337905184575,6.483157572937166,0.26586753032398663,68.87350040693967,10.025390736687948,0.08978228100439914,83.22026817295283,3.23394823889593,0.427691900992333,4,1
0,164.0,10165.256556358901,0.016133385231424324,36.325523908769036,35.18292682926829,35.0,63.0,199.0023067606282,328.43592588715666,55.0,5.971562288857396,4.759187787217665,30.50717818375326,3.618223759284149,0.6059090710709918,113.78601046795892,404.97566139722863,61.0,6.638945268807026,5.51106072291156,6.638945268807027,3.559098871045013,1.7489171642648056,0.8110016408245423,14.14323403316618,10.966612255139331,5.866952305653754,0.14818377187189405,25.968438640339475,4.1464899233636805,0.299586937468843,37.00276760525817,3.2941415356345587,0.22624518043861924,53.39631435463787,4.1165709334827705,0.3259841102206436,5,1
0,110.0,9861.525021643574,0.011154461379814743,43.8528394878922,31.145454545454545,26.5,54.0,180.87287530170144,266.9007220117066,25.0,10.67602888046826,9.858870558638007,19.99413449517689,7.234915012068058,0.6776784788681394,23.418848303315087,353.32847597613426,37.0,9.54941826962525,9.858870558638007,9.54941826962525,15.08735491173229,7.723388996720976,0.7553897864426148,13.784981909904962,5.938841244811587,4.47708479694429,0.04443572042254422,21.360714795134562,3.808887683485714,0.4884679369196967,35.374922979986785,3.958558011047617,0.13786727978710697,47.29378697452647,4.088923567507457,0.3292290628706522,6,1
0,332.0,22971.486500811523,0.014452699871567793,35.38126001435125,44.07831325301205,40.0,91.0,361.5626801275838,635.0184538507921,88.0,7.216118793759,5.982339907881206,22.51513842058308,4.108666819631634,0.5693735007778826,148.66953483331275,772.9470574952159,112.0,6.9013130133501415,6.117868506607834,6.9013130133501415,5.199095149936661,2.431989045590042,0.8215549146517354,21.65198007813255,17.88899485713402,8.96958847228308,0.22689194192875617,38.49979183395643,7.935889030065526,0.49383392178014385,66.43855789268977,6.835578900402919,0.1297974797439486,82.84493509153167,5.442326976875623,0.14947665654715148,7,0
0,76.0,4142.945454406245,0.018344436545542717,30.007081870087017,30.973684210526315,39.0,50.0,116.20018689114268,201.4947326108182,31.0,6.4998300842199415,5.299699094552813,18.420014665511815,3.7483931255207317,0.5766909406787337,78.17875493489896,239.94271436320486,34.0,7.057138657741317,5.911871402381449,7.057138657741319,3.0691549713603146,1.486339696608176,0.8397618287580619,11.697506330513704,8.392154397993242,2.405400168771838,0.20145403055685956,16.723311669213782,1.344155257849003,0.1534111977026482,29.442831453080636,3.9702919820649902,0.09514187940205222,43.48467338953436,3.273147726304796,0.5499928923384401,8,1
0,131.0,16506.708720871844,0.007936167179975591,44.99086329987275,30.595419847328245,28.0,51.0,208.24030349348718,388.8388952548057,44.0,8.837247619427401,6.991833250909753,29.634533128611068,4.732734170306527,0.5355439130054814,118.17384332231558,548.2890528903503,60.0,9.138150881505835,7.684946893233931,9.138150881505839,4.639681992866294,1.7621522465467934,0.7091859543884925,10.959378051660885,15.14808204983359,4.372381332551736,0.2267203028671033,25.99039710715998,2.971886681095107,0.4136548981280248,41.74874101943199,2.5509326859050274,0.137225762701884,48.026216204816244,1.5250415845348946,0.22239903630298793,9,1
