frame,x,y
143,-18816.836775849988,9703.093904019272
158,-17988.625241627466,12438.682626511943
164,-17147.050701996806,11154.405424789324
175,-19326.16374583581,19380.42548496485
175,-17787.704865133477,19491.536421145564
175,-16475.043865792995,15605.50614781748
175,-17465.617357408115,16822.906130931515
177,-16817.4763364006,19326.48164419726
177,-19669.65374961728,16443.94761541837
179,-17034.740999857437,14974.884088822386
182,-17787.929872346256,19967.164954462696
183,-16730.153895103518,15637.104788407836
183,-17576.848425948265,17376.57734395262
185,-20028.8010799643,19236.327716794152
191,-17663.61307842879,14709.162390813712
191,-17597.787498854785,17793.18637105716
192,-16302.537234261566,15839.55256843565
194,-20032.09432180476,20576.95680844507
195,-18662.38693234565,19386.979398281645
200,-15847.11512089529,18458.732469143622
200,-18780.632294900854,14680.368851361694
202,-16058.808640935202,18733.32818106824
202,-15292.584514808574,19507.25999048096
202,-19038.98461723645,20114.25840373167
204,-25184.681101688595,18849.871786663847
205,-16853.054365347583,10634.870189493748
206,-17985.106652110164,18409.303309103827
207,-14438.937604816438,11070.74423531662
209,-19564.3841105874,16251.379883461326
209,-23740.588752220523,18817.028113611934
211,-16175.609328413288,11960.267155453676
211,-16141.655865940931,18268.880878746404
214,-18403.81848850696,19102.65937549697
215,-14635.308075996782,10730.397434654453
215,-20128.97265745457,18820.194073048835
216,-18457.785038505248,19113.437937654788
216,-17902.591945380263,19479.57752504961
219,-16435.47436913604,18704.75529153992
222,-19426.9929579644,14251.051642605353
222,-17033.966492431082,13339.033439155615
223,-23830.37220449405,13531.35785660575
223,-15420.78154163625,18585.332745034768
224,-15257.678540489716,19309.8883360968
225,-17654.24667972071,14626.14491295367
225,-18177.43919784467,20023.368752651317
226,-17532.068156518435,13039.38236697924
226,-18818.447221339626,11481.045328516013
227,-19275.29698943581,17588.20947618803
227,-20378.33417093285,19220.245331664013
227,-16270.60087227748,17824.250073429524
227,-15546.453207062208,17481.096062965826
227,-15323.574711459196,10792.904799036634
227,-17421.063587294146,14831.230588701215
228,-16503.286309650928,16797.98837945332
228,-19033.08914031891,19827.460246087103
228,-18733.54456665381,19414.139640545796
228,-17433.884754687864,15818.524753136666
229,-16375.625253623686,16496.936844306078
229,-15167.902031654448,11188.921611292568
230,-18715.46698115248,20649.408863890163
231,-18614.329325916297,21345.016644782678
231,-15755.030524336018,16103.764865931986
231,-19179.812178234137,18429.87864108282
231,-20423.472468657343,20754.400844338103
233,-20981.794778346422,18725.566911715337
233,-18652.393387364136,12682.574291635516
234,-18273.174877814294,17218.482449441402
234,-16406.449225453787,15932.934757282415
234,-14365.30494308921,12254.737097765435
234,-16229.585096364452,15876.20059397278
235,-16882.56816771623,16528.22203163943
235,-14063.567094558588,12790.872018587952
237,-16813.04725374382,17339.310576206306
238,-18899.55847265276,14743.600270239953
239,-16158.912917128451,14561.75878188482
240,-15544.16462178048,13123.34319391396
240,-20183.01532035118,21242.501924419277
241,-19741.34594238952,14575.794233102835
242,-20788.628323068144,23016.23941045384
243,-15216.108947483666,16520.033588240145
243,-17757.611961086925,13666.969206618094
244,-18022.95818623263,14096.674905435262
244,-18850.04256498429,21083.521843672686
245,-18865.25598300578,21894.098883533712
245,-19546.00835105134,16024.849211085098
246,-20063.341198636976,22769.721481101744
246,-15208.568751738514,13168.004514886445
247,-16979.915288049888,17092.85667288603
247,-20638.92387111707,21736.514255637
247,-20573.620871205854,13789.920237694178
248,-13965.35268169751,15097.25355064164
248,-18900.63753759776,14956.630319887665
248,-18233.21125485333,20100.79257554155
248,-14663.985005125533,14815.491199887638
249,-17895.246975767543,20179.937933175035
250,-15762.060055026834,14688.612618278512
251,-16002.409165849762,14344.433094671522
251,-16254.050446035224,14458.893681947431
252,-19977.18842094152,12605.513456170307
253,-18385.27151083948,16690.394141773042
254,-19332.04678223261,22307.50906162145
254,-14136.328755775196,13949.58390944621
255,-19928.5102860739,20363.76389815274
257,-13507.013663759495,15231.072346566234
257,-18658.7466622274,19773.223846271463
258,-18256.568716311005,20117.25793692422
258,-14692.50611178603,15600.428615979572
259,-20351.773951280054,23236.977029963717
260,-15967.610293725758,12340.083394914149
261,-19410.66273042992,23034.934798942355
267,-18086.572931548115,15857.53529683009
269,-19576.72853920736,22244.03950184433
269,-18199.76093965251,18934.170119773746
270,-17353.783078719764,17450.20924773063
272,-17091.95252388354,15488.70711121506
