frame,x,y
76.0,-6218.403242008208,-27026.299781097805
76.0,-6480.803102876712,-27153.179067101973
77.0,-5269.606984870399,-26403.866045490668
77.0,-6372.190905135491,-26473.493220448752
78.0,-5999.1784132923,-27106.849829872663
78.0,-6327.37197122638,-27602.84175782252
78.0,-5159.047813559305,-26452.4187650807
78.0,-5612.975096106203,-27361.39042873097
79.0,-6335.440742314433,-27749.692576847407
79.0,-6348.827836437238,-26830.05106072102
79.0,-5441.633780580566,-26206.79091594572
79.0,-6481.5281121567705,-26801.92407287876
79.0,-6538.260045899772,-27248.929362422976
79.0,-5567.787113957701,-27508.63315212184
79.0,-5404.558734932042,-26421.47666795497
79.0,-6123.474969585894,-27682.59057957556
80.0,-6385.540400487287,-27071.66951726888
80.0,-6572.426858056495,-27302.569318074056
80.0,-4131.523305739996,-26721.57989512713
80.0,-6315.327994518712,-26678.2831952817
80.0,-6269.079798613221,-28056.532196258613
80.0,-6321.440786804217,-27317.03826384694
80.0,-5558.85755357051,-26409.00054076739
80.0,-5411.288233935183,-27718.9264631352
80.0,-6041.917062542067,-27809.30238897629
81.0,-6461.2165350914165,-26976.85113489738
81.0,-6005.138203015153,-26658.208673550187
81.0,-6582.434861113714,-28055.93414951571
81.0,-4991.915341671978,-27985.15566994714
81.0,-6563.154951365356,-26825.337339629823
81.0,-3670.126389007179,-26437.14728505512
81.0,-7147.041595863849,-27149.568481867496
81.0,-6776.340020052483,-27754.68779954651
81.0,-5906.317423835196,-27176.00624451661
81.0,-5517.104776726685,-25804.427010395237
81.0,-4719.592723571824,-27784.804637968795
81.0,-5130.055041991232,-27809.84442795075
81.0,-6006.4006141098935,-27009.275209167237
81.0,-4921.6786047235455,-27409.456469302582
82.0,-5254.534791495452,-27344.09301429306
82.0,-5488.466773051338,-26413.43532241171
82.0,-5992.445769534508,-28086.422407089834
82.0,-5218.50805498104,-28027.664100002286
82.0,-6717.731277054057,-26570.27810314943
82.0,-7053.46800236662,-26233.374675124884
82.0,-6516.654268150639,-27998.83965329941
83.0,-5907.6098845699125,-26800.36689800583
83.0,-6719.961553489434,-26254.84982384858
83.0,-6305.707752881393,-26858.430465287413
83.0,-6046.750992437268,-28346.06921757012
84.0,-6461.448649852965,-27238.649849434565
84.0,-5501.347016679274,-27850.129597138897
84.0,-4731.847512376177,-27660.695187844103
84.0,-7509.694607851895,-26539.53008589202
84.0,-3968.912714524941,-26474.89580020042
84.0,-5777.251738466575,-27192.91393472409
84.0,-6761.91256769056,-28146.759729513087
84.0,-5987.198902559725,-27406.11716696265
84.0,-6325.488355668542,-25980.228253798126
84.0,-4412.1930672661465,-28605.46617867067
84.0,-4998.483758566477,-28386.81114831647
84.0,-6139.531079361858,-27216.01802188792
85.0,-6167.522437389998,-27630.70134683093
85.0,-5124.952831163993,-27353.258836504985
85.0,-4873.615777548554,-26889.357578585787
85.0,-6066.275748745509,-28658.35229855308
85.0,-5340.557878136492,-27223.55711523564
85.0,-6911.388766841512,-26157.99599300813
