frame,x,y
232.0,-29700.50428718672,-4793.103464013875
310.0,-30329.06679593696,-9881.792899627522
223.0,-30679.5406842055,-5572.235123165468
242.0,-29484.766489449663,-4970.290928777038
99.0,-29879.71437588244,-5799.751309086059
198.0,-30351.212255432398,-5075.877861063011
316.0,-29576.94449040127,-9227.446343997948
200.0,-30776.8139805267,-4920.690664654954
263.0,-29793.77939443659,-6815.081703701064
219.0,-29087.695650679016,-4929.728584663913
222.0,-29045.69508345376,-5016.89144615905
222.0,-29164.16006270733,-4988.430998022454
223.0,-29088.527291504288,-5069.013217759939
224.0,-29084.46678632518,-5157.138424508389
225.0,-29112.093388404377,-5267.411803282655
225.0,-29052.28046110192,-5263.653539407734
226.0,-29081.864972683423,-5336.350423620507
227.0,-29111.291379787766,-5410.390351167411
227.0,-29186.576782387205,-5363.133330829844
227.0,-29056.8776326141,-5464.991120858179
228.0,-29091.066179028552,-5509.788990655768
228.0,-29199.668256596105,-5452.670843408197
230.0,-29167.3445610178,-5605.01193956411
230.0,-29129.976394789926,-5583.488431636102
230.0,-29151.71140699881,-5572.06940392263
230.0,-29161.332681694064,-5575.121292260475
233.0,-29121.154649328717,-5648.614650355879
233.0,-29215.861914902947,-5665.814623908181
236.0,-29090.56042312822,-5755.711610654615
237.0,-29203.67371586118,-5766.193781172515
238.0,-29160.82787267732,-5869.510536046693
238.0,-29187.606955625983,-5894.56776280625
238.0,-29204.14596540643,-5877.299713354441
239.0,-29214.539678221183,-5995.3473552073165
241.0,-29194.685599964305,-6078.6086209235
242.0,-29245.170566065648,-6156.796480272988
243.0,-29196.166596740637,-6293.257624673923
243.0,-29260.82499673125,-6277.685036453312
243.0,-29197.9825566673,-6244.589354294254
244.0,-29332.006071039305,-6320.76552809846
244.0,-29201.409977066545,-6379.551483486664
245.0,-29241.422278960457,-6440.440723883409
247.0,-29276.5240410157,-6496.397188018432
249.0,-29243.67474250322,-6572.628093095314
249.0,-29275.68808581684,-6575.168073005625
252.0,-29299.470639422158,-6668.6332017846125
254.0,-29255.38953931849,-6762.494352561039
254.0,-29312.954725914613,-6764.103557363005
256.0,-29356.224569794304,-6828.829856352794
256.0,-29278.220367705297,-6843.929073011308
257.0,-29240.430021617496,-6963.142544125696
258.0,-29232.717664423773,-7050.215033014532
260.0,-29213.901390583436,-7142.398589821013
262.0,-29281.038785754004,-7254.481713437583
263.0,-29370.8473003967,-7338.016257125628
263.0,-29342.494081617337,-7325.6136463790845
264.0,-29357.039571447825,-7418.007632599426
267.0,-29327.7927515234,-7490.216717605658
267.0,-29467.09958689155,-7377.315486361607
268.0,-29321.18891612842,-7484.214883287605
269.0,-29437.374903945245,-7512.017843671595
270.0,-29484.03514857701,-7628.076017061213
273.0,-29561.249625396435,-7696.116025043208
273.0,-29509.69948031513,-7722.258614547242
275.0,-29542.275974321798,-7751.29910959895
276.0,-29609.96939501596,-7806.129829126414
277.0,-29611.53305535728,-7884.870771046983
277.0,-29539.061766741244,-7842.156575086558
278.0,-29571.398710214187,-7936.072967692665
278.0,-29596.205949495725,-7958.520016850087
281.0,-29651.29047013334,-7924.102939398836
281.0,-29605.42172312743,-8025.906162060123
282.0,-29612.994384380883,-8084.858289958108
282.0,-29619.91749240212,-8111.747885147154
285.0,-29520.901174647344,-8171.203262146011
285.0,-29524.510930100776,-8139.017602561672
285.0,-29576.78155831892,-8191.408606026926
286.0,-29676.40631932226,-8223.502802767072
286.0,-29443.25601409835,-8194.659847996125
288.0,-29609.089387150027,-8131.621202848553
288.0,-29589.634179309323,-8270.869395073161
288.0,-29637.179657798424,-8287.748879997951
288.0,-29566.562778073127,-8324.588491231103
290.0,-29650.913824077383,-8317.034377467386
293.0,-29637.540202325938,-8381.444711048436
293.0,-29594.976175464624,-8388.851997111624
294.0,-29643.136192727947,-8433.443369056424
295.0,-29614.43799883082,-8541.388083479702
296.0,-29708.083796589992,-8605.760781891144
296.0,-29633.46813114356,-8643.67589475642
297.0,-29739.885120497715,-8692.92840834639
298.0,-29683.143740735468,-8777.767622047566
299.0,-29680.7656103075,-8888.598966528534
300.0,-29689.52458260913,-8969.075335080357
301.0,-29698.90599591995,-9044.801889885175
303.0,-29608.730394728096,-9081.984001073752
304.0,-29518.98286600363,-9113.995858194496
304.0,-29618.71834708012,-9194.081600952912
305.0,-29629.533339934707,-9258.715479639137
306.0,-29658.22037245608,-9339.96859733637
306.0,-29578.659916407832,-9384.037019197429
306.0,-29525.89012742109,-9290.44675790403
306.0,-29684.132192860085,-9318.278755269575
307.0,-29634.527673307817,-9412.259843192403
307.0,-29665.13592065088,-9441.822997500092
308.0,-29669.701363079403,-9518.610876198463
309.0,-29739.53095502109,-9609.387678456276
315.0,-29855.356262614307,-9642.120546029111
316.0,-29954.430096557146,-9743.490033921878
317.0,-30019.88174095146,-9825.679544295026
319.0,-30024.998328435275,-9918.051369127155
243.0,-30318.19936441169,-8176.602617655444
149.0,-28775.946432000383,-5947.522913688292
196.0,-29587.16665938693,-4556.343107625464
256.0,-28560.27450184817,-7353.969907988452
75.0,-28387.06362857312,-4902.362729544271
2.0,-29593.49094298936,-4423.752630829273
189.0,-28515.214216683304,-5765.604251039091
236.0,-30012.47427263172,-5724.892020000007
239.0,-28325.440537964656,-5719.440783766324
38.0,-29677.26541329857,-5398.514684765985
243.0,-30038.942373736914,-7837.854729799965
