frame,x,y
163.0,-37541.08964850534,-8174.333303050735
238.0,-34088.83316881876,-7786.184710006542
140.0,-34323.10140310171,-7305.051060571506
189.0,-36294.86305068825,-7726.35437304098
309.0,-39350.2554587551,-10701.126755800702
275.0,-34095.96434100646,-6516.064467836164
162.0,-30962.480504177653,-7132.696750623181
117.0,-35164.501008832965,-7342.496605353208
289.0,-35754.33955243922,-6629.7436632794925
302.0,-37626.83462380632,-10747.769234004503
238.0,-35113.000390270536,-8294.256003761726
195.0,-31734.41887914608,-7551.919011457518
170.0,-38345.41070061153,-7611.271672149014
219.0,-34493.81747577417,-6542.130597544652
181.0,-34174.18660537511,-6796.778820842483
182.0,-34216.68197538385,-6883.344074295503
182.0,-34252.83786282348,-6818.405060110214
182.0,-34287.03389965039,-6762.325517189855
183.0,-34316.467837275755,-6883.251333309528
183.0,-34325.0931665535,-6841.375248766551
183.0,-34276.23957708511,-6921.545659615655
187.0,-34401.01890866386,-6855.41743371672
187.0,-34382.66778467676,-6932.45718254639
188.0,-34459.27145904614,-6972.227909137489
188.0,-34480.05262184431,-6874.59349435836
191.0,-34568.89893249504,-6910.55283175254
191.0,-34542.321894817775,-6862.444157142273
192.0,-34603.474912091435,-7000.008863364072
192.0,-34594.24849927613,-6941.429688396259
193.0,-34666.264859416355,-6951.705913957314
193.0,-34692.97445785434,-7036.1369647715455
194.0,-34667.583943180565,-7044.881311993641
194.0,-34781.9193923607,-7060.879068573132
195.0,-34806.42284156539,-6995.064276073137
195.0,-34689.58231322479,-7116.434828691395
195.0,-34839.79525719939,-7035.714156216409
196.0,-34852.18912216103,-7099.954074253386
196.0,-34784.55450944547,-7142.961207791243
197.0,-34918.211891767685,-7149.623538006821
198.0,-34865.23104717561,-7221.266296548619
198.0,-34914.465353153864,-7243.249296894141
201.0,-34953.275827437166,-7287.145147009195
203.0,-34998.24632375479,-7339.82701253906
204.0,-35017.412420812085,-7415.618252093322
207.0,-35131.15803408236,-7423.826891611768
207.0,-35132.62518737987,-7461.461290255276
208.0,-35212.83205366205,-7497.877909870019
208.0,-35212.0152572273,-7484.868034288998
210.0,-35124.28257156411,-7549.54613942025
210.0,-35326.23800267272,-7456.557421307029
211.0,-35307.34570698492,-7520.001300263401
212.0,-35400.40517600193,-7548.564767125073
212.0,-35298.17589245894,-7645.227538307223
212.0,-35400.90867692741,-7576.37232164981
212.0,-35409.827962973024,-7566.616951368408
213.0,-35358.69238054408,-7670.404996490453
213.0,-35459.89556577605,-7618.055994581439
215.0,-35520.48779555334,-7635.314622021534
216.0,-35600.83213254836,-7711.93205824928
216.0,-35621.557457695264,-7689.293030132195
218.0,-35707.63312450557,-7778.252121186494
222.0,-35772.10002396222,-7870.093692347445
222.0,-35834.21207709695,-7809.0848412550895
223.0,-35851.073429577125,-7931.29853291709
224.0,-35932.931831711205,-7962.552116204832
224.0,-35915.94612474334,-8078.683220677771
225.0,-35953.23702088338,-8095.5421941645955
227.0,-36013.63626285012,-8150.994166954357
228.0,-36060.8807644489,-8247.556065105091
228.0,-36070.71444178024,-8205.770338614742
229.0,-36150.55580597388,-8299.253303176769
229.0,-36128.37283235708,-8289.994592839388
232.0,-36202.05315720217,-8389.626832961625
234.0,-36265.15688936862,-8368.416093104624
