frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
1,777.6358436,54046.008,283.0845969,-1,-1.0
1,2032.855942,80678.83303,273.1337977,1,-1.0
1,2419.128553,47216.74575,607.6666554,61,114.0
1,2901.587873,66388.74196,1882.067976,-1,-1.0
1,2982.420314,4814.179537,982.2991345,-1,-1.0
1,3294.965268,22423.17936,290.446547,26,53.0
1,4905.784377,78014.37153,271.7536754,0,-1.0
1,5667.1189,7095.865699,276.7463491,5,-1.0
1,6900.076998,19430.49007,899.5093591,25,-1.0
1,8160.327814,39760.96385,312.3763093,-1,-1.0
1,8381.842474,54388.21731,853.4663034,-1,-1.0
1,8505.387518,1523.928473,304.5395399,6,-1.0
1,9093.040089,52850.48248,289.4766729,-1,-1.0
1,10167.62926,27090.89506,1251.727429,-1,-1.0
1,11034.20603,55497.09023,659.7061542,62,-1.0
1,11684.26928,80792.29753,435.8326381,0,-1.0
1,12012.8805,5509.806379,550.482189,6,-1.0
1,13891.78592,41652.23058,804.4919131,72,-1.0
1,14117.17682,65442.93025,375.4111699,-1,-1.0
1,14731.91541,50811.73356,598.78102,62,-1.0
1,15185.70719,26687.96616,287.3562043,-1,-1.0
1,15313.59429,62125.49088,334.8348727,-1,-1.0
1,16351.41932,74485.25015,789.3542324,-1,-1.0
1,17075.44129,18935.35586,656.5443077,-1,-1.0
1,18650.17403,37593.40725,808.7079675,68,-1.0
1,19121.43275,41186.72293,2515.487769,75,-1.0
1,19412.92311,49843.52263,1437.226821,63,-1.0
1,20097.33235,19314.54299,421.4002011,29,-1.0
1,21109.99523,54866.25138,286.8770778,-1,-1.0
1,21236.81188,13083.57093,696.7857537,-1,-1.0
1,21647.1129,31720.60208,925.4790429,-1,-1.0
1,22227.36151,23909.65911,837.7402382,34,-1.0
1,22416.02523,1958.194296,678.368858,6,-1.0
1,22637.31761,42330.2017,438.7347609,75,-1.0
1,22943.62126,35376.45171,260.1785258,-1,-1.0
1,23019.07429,50912.99832,678.7305141,-1,-1.0
1,23943.39445,6909.569961,531.46373,-1,-1.0
1,24145.79573,61917.51167,569.12514,57,-1.0
1,24885.44612,55673.15961,1173.336965,77,-1.0
1,25028.84439,48340.22845,273.9119453,-1,-1.0
1,25282.70067,72071.04324,1392.72891,57,-1.0
1,26134.79171,58359.19328,2555.369068,77,-1.0
1,26341.07738,45440.0787,502.4534604,73,-1.0
1,27088.48682,63446.05038,641.4404331,56,-1.0
1,27626.25901,24282.89474,268.8723632,-1,-1.0
1,28328.67658,49802.01855,1208.383255,73,-1.0
1,28412.84096,3453.334686,247.2895566,-1,-1.0
1,28911.35518,47042.04487,304.4273291,73,-1.0
1,29664.45062,58125.44959,617.6484911,77,144.0
1,30603.72978,57431.60566,722.5585599,77,144.0
1,30970.53528,41874.01566,959.4977255,-1,-1.0
1,31076.27787,7744.842692,684.2724201,24,49.0
1,31574.47299,52940.71419,659.3897006,73,-1.0
1,32349.04699,27781.65411,210.8137698,-1,-1.0
1,33163.63479,24239.67151,310.626956,47,-1.0
1,33433.7319,37586.46952,301.7051476,-1,-1.0
1,33721.35403,66725.69226,296.4191195,57,-1.0
1,34987.88103,18402.80974,721.9419795,-1,-1.0
1,35066.12504,66804.19044,992.3322394,57,107.0
1,35148.68554,49524.11056,412.9812486,-1,-1.0
1,35400.09911,13568.92905,1476.738697,24,-1.0
1,36411.88167,15746.43407,563.4615803,24,48.0
1,36463.69789,44332.64305,2798.351378,-1,-1.0
1,36956.84735,45814.55732,223.8775048,-1,-1.0
1,37030.77225,69524.38653,1278.17205,54,-1.0
1,37903.58948,41039.52272,212.1376091,-1,-1.0
1,38418.73122,33558.37324,262.4133206,-1,-1.0
1,39290.37374,76467.33926,279.9297677,-1,-1.0
1,39714.73209,41087.38026,281.9688013,-1,-1.0
1,39920.41902,35408.90644,344.1047586,-1,-1.0
1,40293.8981,16225.26571,295.221042,-1,-1.0
1,40677.38817,55327.19874,848.3803716,79,148.0
1,41586.28662,46336.66406,2122.163005,79,148.0
1,41623.16296,55765.58437,649.1185893,79,148.0
1,41775.82137,25250.6599,3852.124059,-1,-1.0
1,42136.0566,78811.15745,3092.974991,-1,-1.0
1,43057.48544,18821.51234,1449.6698,-1,-1.0
1,43693.18959,42299.12431,1088.439967,79,147.0
1,44667.43515,47484.4783,12851.89009,79,-1.0
1,45061.56833,71943.43782,294.9794206,-1,-1.0
1,45318.22564,32991.23896,526.7975985,-1,-1.0
1,46162.86571,13883.80683,398.7479326,-1,-1.0
1,46067.12391,63096.39239,2145.424506,-1,-1.0
1,46684.44345,35681.32896,664.8773209,76,-1.0
1,46627.2448,39861.51374,2997.906025,71,-1.0
1,47614.16871,60466.79001,396.8914484,-1,-1.0
1,47621.12974,54416.35656,252.9239676,-1,-1.0
1,47672.05298,61831.13539,1209.980822,48,-1.0
1,49154.39966,56933.05472,750.5643521,64,-1.0
1,50367.66035,38337.3105,518.5516462,67,-1.0
1,50591.33207,11163.65396,628.2934862,17,-1.0
1,50922.56522,15067.49376,1040.526589,18,28.0
1,51463.95261,56216.9066,2447.265209,64,-1.0
1,51827.70804,54230.05199,1000.72962,64,-1.0
1,52488.6236,533.9192108,1215.952672,2,4.0
1,52822.0578,38094.12976,505.5695345,-1,-1.0
1,53052.93688,12561.7332,353.614291,-1,-1.0
1,53434.34989,70036.09755,647.7912644,43,-1.0
1,53791.38894,61278.12168,307.140053,-1,-1.0
1,53809.49449,79588.30172,244.1117048,-1,-1.0
1,54353.62774,27772.59026,1929.839063,52,-1.0
1,55164.16164,19135.40212,966.2929398,-1,-1.0
1,55077.16169,65102.869,455.1533911,49,98.0
1,55456.78732,71934.24326,385.0041607,19,-1.0
1,57387.74756,75391.24729,299.8082019,19,-1.0
1,58556.2365,52299.61959,593.4055538,-1,-1.0
1,58420.51233,62932.92656,207.6182963,49,-1.0
1,59171.96661,17825.47014,1547.897175,-1,-1.0
1,59216.06547,8312.517537,315.2064526,-1,-1.0
1,59517.5755,54251.62117,299.2134037,44,-1.0
1,60135.91834,46706.31964,246.2487026,-1,-1.0
1,62049.09585,2029.69681,908.0455363,3,-1.0
1,62387.72943,70326.02379,731.858503,19,-1.0
1,62860.71925,14327.8373,203.9666242,16,-1.0
1,62887.19324,47453.64827,1380.974017,37,-1.0
1,63085.65722,562.7238596,357.363249,3,-1.0
1,63181.32561,51098.87198,649.595858,-1,-1.0
1,63190.6936,28670.68272,315.5009065,-1,-1.0
1,63399.53201,23722.08836,1750.890626,-1,-1.0
1,63998.59432,51114.05772,978.0808659,-1,-1.0
1,64646.02473,34864.37972,422.9126251,20,-1.0
1,64992.19539,47683.6439,367.4541815,-1,-1.0
1,65079.9397,79885.96936,505.1660024,19,-1.0
1,65754.72294,46125.85475,220.8724123,-1,-1.0
1,65900.82894,47531.08685,565.6183694,38,77.0
1,65998.42303,50856.04216,235.8822799,-1,-1.0
1,66400.86557,69819.11021,311.1636843,-1,-1.0
1,67885.66879,79395.86955,1060.304944,19,34.0
1,68924.02598,23190.71411,332.4092916,-1,-1.0
1,68824.09829,80345.99013,905.0036309,19,34.0
1,69344.29014,27032.93737,265.233217,-1,-1.0
1,69390.89372,49046.69355,481.4053909,41,-1.0
1,69730.0394,10888.71237,1673.252913,7,-1.0
1,70846.99667,37529.33868,666.5713126,36,-1.0
1,71817.20416,57772.76233,1248.376119,-1,-1.0
1,72730.1208,8099.796192,869.419588,-1,-1.0
1,72812.8698,47904.25102,1137.219053,41,82.0
1,73044.62935,48910.14686,800.9144857,41,-1.0
