frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
3.0,17805.41541672555,69073.67323829752,178432.73822642784,19,-1.0
3.0,17847.750781359297,78124.18818261186,14313109.62836302,19,-1.0
3.0,19379.149362691274,39629.14552446822,108756.11448059828,-1,-1.0
3.0,19740.787265945724,2370.9807647615,62486.620297444046,5,-1.0
3.0,21908.6101120414,47056.36426402114,61486.85631599434,14,-1.0
3.0,23350.12512488013,47888.52332791633,57975.71650605657,-1,-1.0
3.0,23880.646383623716,80045.20110795765,49398.6350300389,-1,-1.0
3.0,27007.49384058477,48255.34191350053,39959.63112164458,14,-1.0
3.0,28615.889202396906,59538.67035297314,61953.49355316416,-1,-1.0
3.0,30548.489434784024,53546.62012067349,213505.08016857796,14,-1.0
3.0,31258.651608771357,47088.44538636419,50242.18770442402,14,-1.0
3.0,32591.121856300637,65304.55590998896,69146.95867492947,-1,-1.0
3.0,32538.717882377838,66645.00242548136,41886.37949927367,-1,-1.0
3.0,33263.663955532626,2915.609403195926,55798.36638617964,-1,-1.0
3.0,33460.45754916329,53743.40442734269,40650.73005606412,14,-1.0
3.0,34172.63447139399,43860.92150601278,93416.31520277965,14,-1.0
3.0,34247.61448150316,77820.872533619,44830.13194156888,-1,-1.0
3.0,35223.234126824755,44735.92508777664,1938434.0811637947,14,-1.0
3.0,37133.43248081445,39371.2752896199,119063.01929177518,-1,-1.0
3.0,37181.11235820043,43120.3329786283,34783.93194085322,-1,-1.0
3.0,38597.52970066707,58171.09735872227,152088.1556267392,-1,-1.0
3.0,40099.58885959317,6637.999437659017,144062.27829040753,-1,-1.0
3.0,41792.41709271492,19286.1114689594,138295.55071457496,1,-1.0
3.0,41911.442351080455,31127.746297902737,68325.77074342428,-1,-1.0
3.0,42248.04099742816,23288.122483933144,118290.84658582056,-1,-1.0
3.0,42434.92886289506,60268.56170659123,496210.9576374232,12,-1.0
3.0,42580.26496242848,59201.89673540647,48282.14799374666,12,-1.0
3.0,46860.98873516454,55575.41134868284,6737826.513599443,12,-1.0
3.0,47330.43808960116,46795.78567981982,73044.99094491705,12,-1.0
3.0,47475.39125944013,39622.72712058875,50811.852566548616,-1,-1.0
3.0,47465.63641405966,45132.66515011999,178852.4955505107,12,-1.0
3.0,47825.85801625103,26363.20670186235,47192.75223924437,-1,-1.0
3.0,48350.65670824416,29912.88482453552,77319.6263938802,-1,-1.0
3.0,49378.13843981718,47574.71072660524,56870.53353438767,-1,-1.0
3.0,51296.86739424363,79054.16028070108,87960.55001343263,9,-1.0
3.0,52625.589521134105,58889.14782862467,67222.80329504007,-1,-1.0
3.0,54328.61734399071,58191.24578564768,49587.99634785988,-1,-1.0
3.0,57714.26534063263,75884.40539109762,69740.12162755101,-1,-1.0
3.0,59149.63980112387,42782.65943645951,129220.5424205814,-1,-1.0
3.0,64079.95196823205,893.4336674273575,71738.0340257102,0,-1.0
3.0,64761.82293498722,13456.768042274109,88945.57857111431,0,-1.0
3.0,64934.553484583696,45801.56230992885,75723.05245496817,-1,-1.0
3.0,70220.86462502439,49346.99453697076,14798554.92191411,-1,-1.0
3.0,75547.15945905128,43539.97291182706,47736.94358164432,-1,-1.0
3.0,75505.4597229723,49845.58730050766,138316.2358775923,-1,-1.0
3.0,76906.49845169482,35135.41577012088,109605.31102400926,3,-1.0
3.0,77569.7604574223,54048.559141606136,243428.9970487754,11,-1.0
3.0,79781.25201327898,1127.9512416744928,52862.41116271642,-1,-1.0
3.0,80678.79287340013,19541.476764674502,254825.8335600699,-1,-1.0
4.0,1193.488177146161,73967.21461337258,64225.76186697921,19,-1.0
4.0,1879.789261864058,643.8381194579555,109561.808673592,-1,-1.0
4.0,5587.834290166986,78737.3497716846,50055.98796909309,19,-1.0
4.0,8208.515081460004,64220.50823480258,29917.954566823835,19,-1.0
4.0,10439.031961621764,49198.75675448935,93089.52349664856,-1,-1.0
4.0,11832.864160499816,45021.17046554199,100740.82696603842,-1,-1.0
4.0,13275.743411343945,63873.42754912843,63610.79938642053,19,-1.0
4.0,13517.15822579567,49135.02757359168,73026.40006203268,-1,-1.0
4.0,16394.389753343283,72728.92928767209,78984.52640987793,19,-1.0
4.0,16780.49205747196,67924.55636317244,47277.106858342304,19,-1.0
4.0,17908.164021783807,69104.34593217612,199249.7612791281,19,-1.0
4.0,20251.893562450663,73831.71498429519,77515.36181343156,19,-1.0
4.0,23035.296777453445,22124.30430614734,72271.0051070052,4,-1.0
4.0,25059.242284328637,57040.75356273771,69396.03800955,-1,-1.0
4.0,25448.501267011143,22404.7200626059,51449.63444969575,-1,-1.0
4.0,25362.15051780587,35537.26765650908,127907.9554733001,-1,-1.0
4.0,25869.55239216318,28616.97514987601,59717.27538637692,-1,-1.0
4.0,26140.600494407638,71590.228670136,56222.28780609348,-1,-1.0
4.0,28942.452268998524,67283.25620304995,91550.60685355047,-1,-1.0
4.0,29015.462344139767,35782.533107173535,30462.888553794644,-1,-1.0
4.0,35860.01269385971,45566.32234046222,45631.72139915945,14,-1.0
4.0,39518.25270876897,25365.197334146145,297125.40364895534,-1,-1.0
4.0,40399.578951587966,44005.331270320734,53695.35967500137,-1,-1.0
4.0,41849.81760292428,31058.758322714773,199850.27903081005,-1,-1.0
4.0,42607.68480645178,60240.83109342494,409920.4590907911,12,-1.0
4.0,45374.96727518052,17884.904251453594,128833.5933863855,-1,-1.0
4.0,48639.39558976554,29038.986077277164,63781.87623648212,-1,-1.0
4.0,49671.94071212274,45023.780563147695,2174887.0006097485,-1,-1.0
4.0,50114.14501743867,27204.546730564754,98559.27999165856,-1,-1.0
4.0,50799.75087009768,78714.50643376372,45108.31791336116,9,-1.0
4.0,55250.92524396512,71631.17619808686,31040.269520767142,-1,-1.0
4.0,55733.46320483892,59924.26562319504,31103.719770080323,-1,-1.0
4.0,55734.83853768342,77514.02057438542,47601.3205538006,9,-1.0
4.0,59042.470798696886,29678.21595762825,61103.97300285605,-1,-1.0
4.0,59690.22866019785,49630.22733643208,66632.04661004254,17,-1.0
4.0,60048.10766749399,60636.85547674563,57465.22289774818,-1,-1.0
4.0,60957.1296754605,76371.20602149918,91685.04959028352,-1,-1.0
4.0,61455.433065596735,47990.555387297296,53528.16860176698,17,-1.0
4.0,66189.97033139948,59226.56344532489,73792.10868753206,-1,-1.0
4.0,66905.2162217775,54098.90156139375,46366.197841570814,-1,-1.0
4.0,69580.99545689013,80403.86622807589,118434.2610357696,-1,-1.0
4.0,71228.69280751816,14221.5912696936,33341.36255315048,0,-1.0
4.0,71704.67533132451,34086.00019929265,69637.3012061392,-1,-1.0
4.0,73293.40411279262,36368.01818408752,53778.380641992895,-1,-1.0
4.0,74554.9306102117,42218.375871714365,375524.6778469823,3,-1.0
4.0,77045.8834103491,35215.410818833094,219993.69840331504,3,-1.0
4.0,77345.69289994979,76968.86621077638,164192.16559927733,11,-1.0
4.0,79153.4432195179,81452.73529348205,90262.565270405,-1,-1.0
4.0,80549.94008416154,61000.76615986954,326519.06727564015,11,-1.0
5.0,4586.856910125469,37794.90344255069,57641.54145515399,-1,-1.0
5.0,6876.342899400324,57270.87727380912,47427.14664929402,19,-1.0
5.0,12279.24610079128,49403.75642510441,67134.48939836433,-1,-1.0
5.0,14289.489848315296,49351.93210273385,111769.78733743122,-1,-1.0
5.0,14438.29591271022,53144.82314158173,32445.191402891232,19,-1.0
5.0,15590.002163055527,71523.88640060507,4124004.834852117,19,-1.0
5.0,15726.363412899069,39087.618896363165,167232.12254035834,13,-1.0
5.0,16162.560324982716,72353.09994451636,66766.67893157559,19,-1.0
5.0,17978.631336516406,69134.00775854761,136907.4995056803,19,-1.0
5.0,18831.971919439213,2457.334097038337,222194.3748522566,5,-1.0
5.0,18739.424295725028,72293.20649748232,108175.00480528286,19,-1.0
5.0,24400.71842317899,46220.50142773369,70986.48356727717,14,-1.0
5.0,24738.95268350218,71408.61972701593,91130.95288649685,-1,-1.0
