frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
1.0,5856.556418410575,30509.138884962904,77888.5580792985,12,-1.0
1.0,8313.912481983425,80423.67905902016,49454.32176775726,-1,-1.0
1.0,15298.423345415606,36988.00108361109,101764.43038175424,19,-1.0
1.0,21276.247417867413,75993.06611650465,105451.0188463792,8,-1.0
1.0,21409.493784205188,16385.154805502076,1576447.4785258658,-1,-1.0
1.0,21433.65410582253,81149.65599072323,105280.96535769988,-1,-1.0
1.0,22215.190176268054,74471.18232602147,57918.00461192565,-1,-1.0
1.0,24891.448051179614,61244.13101908424,61664.37663402,23,-1.0
1.0,30181.389926205997,52498.03373949148,65965.50904152067,23,-1.0
1.0,32626.34526396288,50450.17753339259,103322.8361876976,23,-1.0
1.0,33183.44128525183,77792.66263428812,52578.58781984987,-1,-1.0
1.0,34109.836870099934,64358.80006618986,92715.001387216,-1,-1.0
1.0,36029.27576817087,60496.2081597463,518930.3099778669,-1,-1.0
1.0,36244.77188801995,74447.68614667004,69792.45399475557,-1,-1.0
1.0,37045.938312876,75217.85258912461,78783.29945789409,-1,-1.0
1.0,38353.59820820105,60796.02724115398,141099.55300038448,23,-1.0
1.0,38773.61988661379,38312.59510805398,81354.26772213166,-1,-1.0
1.0,40957.61043734746,62821.0582338798,34190.9096949271,-1,-1.0
1.0,42167.16976111244,81313.77521112884,85374.81383269094,-1,-1.0
1.0,43414.03599638127,45024.04243271535,71426.386994813,18,-1.0
1.0,44077.84346723728,26181.38225438929,110184.03364274312,-1,-1.0
1.0,45168.929849949775,48187.14245700768,283054.23426909815,18,-1.0
1.0,45935.59702747006,31757.786642361832,167011.41803616012,-1,-1.0
1.0,46082.99543361615,79416.8450578733,165286.08673664747,-1,-1.0
1.0,47036.66161960005,71545.74293610043,49979.490047389634,24,-1.0
1.0,51448.261494584505,47895.3107027286,56431.00291373284,18,-1.0
1.0,52044.82468900024,34402.13666930459,66338.72825324233,-1,-1.0
1.0,55126.0723839497,67841.14202815227,40174.12659427852,24,32.0
1.0,55417.32850852928,21255.526254507407,102289.71806008596,14,17.0
1.0,56762.22240921913,36041.430780377326,90907.04793384534,16,-1.0
1.0,57208.64079893356,21503.677220148536,45000.74122579619,14,17.0
1.0,58475.26935183039,45443.94748651616,249072.07500483145,11,-1.0
1.0,59304.14669821874,25128.297134824097,207757.9680124641,14,-1.0
1.0,59413.94611038511,37758.12344087087,114866.57299980165,-1,-1.0
1.0,59404.45669206692,40839.31820341149,67880.4084045162,-1,-1.0
1.0,59652.94100077881,54298.975911881615,49651.13472951756,11,-1.0
1.0,59738.90634022347,71079.44736550779,59846.43483625918,24,-1.0
1.0,61820.83552540118,58498.29260111004,232165.44043680892,-1,-1.0
1.0,62530.31206846661,423.2010875863718,106465.18413265183,1,-1.0
1.0,63062.69850954967,26662.772157223917,52033.3740257136,-1,-1.0
1.0,66931.46996977007,73601.97237482978,58467.82011568128,-1,-1.0
1.0,69478.35231635919,77171.49359970841,60618.94283627119,-1,-1.0
1.0,70075.82982203644,56742.19018933244,43583.10923125243,-1,-1.0
1.0,70095.26481416363,4847.107637193024,232420.089534277,-1,-1.0
1.0,78795.45843835411,36969.9457436931,69564.25559673554,-1,-1.0
2.0,1062.964571914954,70781.93503741839,68850.35680270418,-1,-1.0
2.0,1727.0082240467343,43580.31030759441,112133.72893921846,-1,-1.0
2.0,2454.2764522310435,63070.72207674289,54467.76620941542,-1,-1.0
2.0,5789.18788836929,30663.256574614086,410738.2247643429,12,-1.0
2.0,8703.230637272867,13764.674068486644,154786.64709761486,2,-1.0
2.0,8633.985506615756,52106.66272975538,39034.426360341575,-1,-1.0
2.0,9667.025744744187,44203.6718259624,82397.64177524245,20,-1.0
