frame,x,y
60,74296.79284,59637.94937
61,74348.82321,59716.58097
62,74386.00319,59590.21061
63,74444.48981,59650.03282
64,74424.23906,59699.03063
65,74449.26957,59651.27729
73,74397.95939,59781.49277
206,74528.78289,59486.08539
207,74402.5636,59458.37047
208,74579.94421,59532.5066
211,74595.98217,59403.1524
212,74515.84728,59390.63137
215,74501.49335,59475.25973
216,74568.92719,59390.88801
218,74458.85068,59461.08883
219,74491.44178,59334.13668
224,74627.97779,59483.61955
227,74426.48728,59427.85265
228,74551.61182,59518.30738
229,74610.32079,59532.05327
230,74528.17675,59664.8503
230,74723.43579,60137.23097
231,75091.02456,60542.4878
232,75796.1396,60027.35299
234,74497.0058,59381.01899
235,74806.80143,60324.68692
236,74615.88825,59293.55174
236,75973.98456,60070.83864
237,75510.17795,60176.96895
240,74439.18264,59351.90732
241,74442.98841,59349.88082
243,74536.24682,59594.70272
244,75081.67468,60242.17979
245,75909.14925,60024.14542
246,74473.4912,59346.63499
246,75964.56468,59992.82831
247,74371.30448,59299.28343
247,76009.16181,59982.08122
248,74453.25549,59361.36131
248,75899.47361,60090.75423
250,74519.26274,59720.25273
251,74459.0342,59565.98513
251,75684.8686,59986.61993
252,74463.02026,59518.98341
253,74530.27552,59552.47449
254,74547.35442,59465.98607
255,74422.16333,59435.98602
256,73975.91591,60299.49564
256,74693.05986,59444.16007
257,74374.80227,59375.76932
257,74690.6051,60436.8054
257,75694.50388,59825.69859
258,74487.45714,59440.15668
258,75579.8141,59762.14223
259,74420.08643,59564.83725
259,75805.85489,59975.82854
260,74444.58152,59417.69055
261,74430.07337,59454.2547
261,75784.22594,60074.49718
262,74419.23951,59484.42776
262,75064.30804,60114.22344
263,74426.33857,59365.49662
264,74489.64919,59485.68178
264,75140.75098,60068.87083
265,74683.9469,59762.06393
265,74976.36783,59938.51403
266,74486.41408,59360.79621
266,75085.82445,60053.08646
267,74583.81338,59465.18854
267,75090.27682,60048.3004
268,74620.61398,59612.22396
268,75187.19782,60106.75848
269,74564.191,59480.1571
269,75166.13413,60111.64076
269,75105.09786,61388.73907
270,74568.62479,59492.95577
271,74416.20887,58712.22499
271,74712.76177,59458.88713
271,74780.19167,60718.27329
272,75536.8958,58508.92633
273,74708.06507,59109.76977
273,74881.72895,61296.05026
274,74424.53598,60364.05748
274,74622.15624,59362.19919
274,76000.03576,59958.03521
275,73805.3474,58556.14908
275,74054.06678,60057.41731
275,75442.82273,58470.60811
275,76048.84182,59873.82329
276,74666.61505,59310.06763
276,76070.32328,59881.26048
277,75537.65329,59603.81173
278,74495.42948,59291.76913
278,75870.69352,59878.32517
279,75862.92522,59816.26365
280,75184.30126,58551.46024
281,74406.01856,59273.45359
281,74855.79884,58705.13693
281,75112.89725,61088.08306
