frame,x,y
1,50922.56522,15067.49376
16,51413.89715,15569.00352
17,51454.45992,15575.503
26,51241.63036,15844.952
38,51077.88874,14997.91343
40,51197.63953,15059.90535
44,51271.9462,15140.43292
47,50796.8638,15037.61316
53,51197.34754,15634.46157
67,51703.83017,15834.84771
68,52022.55109,16015.14352
73,51397.78623,15021.10675
73,54474.18749,16092.20608
75,51543.20961,14710.58039
76,54539.66029,16151.193
77,54527.64753,16112.10109
78,51772.41262,16091.76629
78,54531.93003,16154.1499
79,51428.96102,15484.74893
79,54514.42945,16104.6785
89,54437.15442,16149.71533
90,51681.12023,16060.87734
91,51751.9821,15937.36692
91,54838.65531,15945.3097
92,50952.10258,14801.68749
92,51190.40889,16342.31136
98,50656.08818,15421.94923
112,51443.36699,15079.48407
112,54551.65032,16125.96699
113,51593.77044,15700.67054
114,53982.93118,16177.68613
115,51447.658,16971.14506
116,51610.90418,17259.68605
116,51946.69676,16016.08989
116,53502.37221,15908.9352
118,51321.61383,16991.68735
119,51238.10035,15375.92848
121,51136.56633,15266.95225
121,51883.30447,16622.45504
121,54244.10781,16149.47327
122,51266.4249,15349.95441
123,51775.90681,14623.1602
124,51611.16153,17512.77036
125,51295.39434,16939.23449
126,51328.85303,16110.18757
126,53571.49385,16645.66121
129,54601.99083,15854.41676
130,51915.58137,17041.57832
130,52187.93408,17573.44652
132,53322.45754,15909.00869
133,51288.58927,15534.93982
133,51527.80533,16585.39411
134,51276.61295,15513.95505
136,51283.50463,15387.64187
136,51597.23327,17200.83078
136,53598.98677,15941.89784
137,51261.50231,15498.39601
137,53008.32732,16739.06915
138,51240.95819,15410.59011
140,51272.26284,15482.17717
140,51566.00463,16006.94265
140,51965.71291,16964.90333
141,52502.06668,17917.84899
143,54265.10957,16088.09695
144,51286.60016,15467.21971
144,52497.87008,18621.95113
144,52988.56638,16678.12204
146,51292.62501,15387.19086
146,52018.89471,16075.32833
147,51540.19031,16425.23226
148,51242.39779,15571.10259
150,54051.01229,16053.62064
151,50828.73246,16999.37772
152,51170.52687,15492.74234
152,53887.62529,16206.52201
153,53557.03075,16374.01261
154,51053.88462,15455.26069
154,53472.29668,16426.19907
156,50588.07228,15049.31431
156,53228.96553,17045.15104
159,54237.90308,15994.84388
160,52736.79386,18376.06009
160,54699.02979,15728.56661
161,51031.05347,16215.03931
161,52719.3757,18400.35765
162,52735.51843,18344.73692
163,52696.4065,18375.2994
